grade_3,math_level_1_2,ell_korean_2,male_2,math_level_1_1,ela_level_4_2
2165,16.1%,No Data,51.3%,2094,21.4%
2692,25.1%,No Data,50.7%,4240,17.2%
149,57.0%,No Data,51.7%,317,5.3%
537,54.8%,No Data,66.7%,1311,2.8%
316,28.6%,No Data,50.2%,601,24.3%
4413,44.4%,No Data,50.9%,9923,7.4%
1838,47.4%,No Data,51.1%,4666,6.4%
1552,55.8%,0.1%,54.4%,3154,0.1%
216,52.0%,No Data,52.2%,586,6.0%
424,57.9%,0.3%,54.7%,952,0.5%
252,65.2%,s,55.6%,617,0.9%
346,32.8%,No Data,49.9%,594,20.3%
115,45.3%,No Data,48.8%,365,8.6%
2877,27.9%,No Data,51.3%,3844,17.5%
553,46.2%,No Data,50.5%,1102,7.0%
1863,56.8%,No Data,50.9%,5389,3.7%
197,45.3%,No Data,50.3%,562,5.4%
327,64.8%,No Data,67.7%,1144,1.2%
207,76.4%,No Data,65.5%,902,0.8%
2208,28.1%,No Data,51.1%,3324,15.1%
2375,40.3%,No Data,51.6%,5074,10.2%
2803,10.7%,No Data,50.8%,1557,34.9%
795,49.0%,No Data,49.8%,1736,7.9%
140,47.6%,No Data,54.8%,259,4.8%
308,51.3%,No Data,48.2%,736,4.3%
3089,21.9%,No Data,50.4%,2658,23.2%
3363,39.6%,No Data,51.4%,6836,9.1%
218,61.4%,No Data,53.5%,524,3.0%
693,61.5%,No Data,66.5%,2257,1.3%
486,59.4%,No Data,67.0%,1652,1.3%
1008,41.1%,No Data,50.9%,2183,11.4%
151,54.2%,No Data,49.2%,333,3.5%
174,49.4%,No Data,52.6%,403,3.8%
347,57.3%,No Data,51.3%,961,3.4%
175,48.8%,No Data,50.3%,812,7.4%
