ela_l3_l4_1,grade_11,ela_l3_l4,ell_russian_1,math_level_2_1,ela_level_3,math_level_1,female_1,black,category,school_name,ell_urdu,dbn,other,math_level_2,ell_arabic
s,123,s,,43.1%,36,46,46.3%,107,All Students,The Global Learning Collaborative,,03M403,9,44,
s,106,s,,s,s,s,62.5%,49,All Students,Urban Academy Laboratory High School,,02M565,s,s,
s,52,s,,22.0%,s,31,46.2%,80,Receive free or reduced price lunch,Mott Haven Village Preparatory High School,,07X473,s,9,
s,,s,s,s,s,s,s,s,English Language Learners,NYC iSchool,s,02M376,s,s,s
s,61,s,,47.4%,19,10,82.2%,82,All Students,Repertory Company High School for Theatre Arts,,02M531,s,18,
s,s,s,s,s,s,s,s,s,English Language Learners,"Urban Assembly School of Business for Young Women,",s,02M316,s,s,s
75.9%,49,22,,s,8,s,56.1%,41,Receive free or reduced price lunch,NYC iSchool,,02M376,7,s,
s,85,s,,42.5%,24,37,69.1%,82,All Students,Union Square Academy for Health Sciences,,02M533,11,37,
49.5%,95,53,,40.9%,40,37,74.1%,176,All Students,Gramercy Arts High School,,02M374,29,38,
s,6,s,,s,s,s,55.8%,12,Students in temporary housing,New Explorers High School,,07X547,s,s,
s,65,s,,46.7%,s,8,s,169,All Students,Eagle Academy for Young Men,,09X231,s,7,
s,72,s,,25.0%,s,38,45.4%,64,Receive free or reduced price lunch,Bronx River High School,,08X349,10,14,
s,9,s,,50.0%,s,7,59.5%,14,Students in temporary housing,Bronx Studio School for Writers and Artists,,08X269,s,7,
s,s,s,,s,s,s,72.7%,6,Students in temporary housing,Professional Performing Arts High School,,02M408,s,s,
s,59,s,,13.8%,s,56,51.2%,76,Receive free or reduced price lunch,The Urban Assembly Bronx Academy of Letters,,07X551,s,9,
s,105,s,,41.4%,28,40,46.8%,89,Receive free or reduced price lunch,The Global Learning Collaborative,,03M403,7,36,
s,s,s,,s,s,s,47.1%,7,Students in temporary housing,Columbia Secondary School,,05M362,s,s,
s,s,s,,s,s,s,s,s,Enrolled over the Counter,Gramercy Arts High School,,02M374,s,s,
s,97,s,s,s,s,27,45.4%,53,English Language Learners,International Community High School,s,07X334,8,s,21
s,20,s,,43.3%,10,9,90.2%,28,Students in temporary housing,The High School of Fashion Industries,,02M600,s,13,
94.0%,130,109,,s,35,s,60.4%,18,All Students,Eleanor Roosevelt High School,,02M416,19,s,
,94,,,,,,47.0%,30,All Students,Emma Lazarus High School,,02M394,8,,
s,11,s,,s,s,s,s,20,Enrolled over the Counter,Women's Academy of Excellence,,08X282,s,s,
s,s,s,,s,s,s,47.4%,s,Enrolled over the Counter,"New Explorations into Science, Technology and Math",,01M539,s,s,
s,62,s,s,s,s,31,43.9%,s,English Language Learners,Bronx Bridges High School,s,08X432,s,s,21
s,9,s,,s,s,12,69.0%,47,Students with Disabilities,Urban Assembly School for the Performing Arts,,05M369,s,s,
s,100,s,,40.4%,55,25,79.7%,147,All Students,Talent Unlimited High School,,02M519,41,36,
s,s,s,s,s,s,s,58.3%,s,English Language Learners,High School for Dual Language and Asian Studies,s,02M545,s,s,s
,20,,,,,,53.8%,27,Students in temporary housing,High School M560 - City As School,,02M560,s,,
s,18,s,s,s,s,6,44.8%,s,English Language Learners,Jacqueline Kennedy Onassis High School,s,02M529,s,s,s
s,s,s,,s,s,s,44.4%,6,Students in temporary housing,East Side Community School,,01M450,s,s,
s,99,s,,28.0%,22,47,51.2%,91,All Students,Mott Hall Bronx High School,,09X252,6,21,
s,61,s,,40.0%,18,17,29.4%,75,All Students,Unity Center for Urban Technologies,,02M500,11,20,
s,129,s,,24.3%,s,49,53.8%,s,Receive free or reduced price lunch,Gregorio Luperon High School for Science and Mathe,,06M552,s,17,
s,62,s,,s,s,s,64.1%,34,Receive free or reduced price lunch,Urban Academy Laboratory High School,,02M565,s,s,
47.9%,80,46,,38.6%,39,40,56.4%,127,All Students,Manhattan Early College School for Advertising,,02M280,15,32,
s,s,s,,s,s,s,60.0%,11,Students in temporary housing,Murry Bergtraum High School for Business Careers,,02M520,s,s,
s,s,s,,s,s,s,s,s,Students in temporary housing,THE JUDITH S. KAYE HIGH SCHOOL,,04M310,s,s,
s,14,s,,s,s,13,35.6%,7,Students with Disabilities,Antonia Pantoja Preparatory Academy: A College Boa,,08X376,s,s,
,s,,,,,,s,s,Students with Disabilities,International High School at Union Square,,02M438,s,,
s,80,s,,41.0%,s,39,30.2%,104,Receive free or reduced price lunch,Bronx Compass High School,,08X561,s,32,
s,9,s,,s,s,9,47.5%,10,Students in temporary housing,Longwood Preparatory Academy,,08X530,s,s,
57.5%,72,46,,s,30,s,60.8%,7,Receive free or reduced price lunch,High School for Dual Language and Asian Studies,,02M545,6,s,
s,61,s,,57.7%,25,16,23.7%,65,Receive free or reduced price lunch,Urban Assembly Gateway School for Technology,,02M507,7,30,
s,65,s,,42.5%,22,34,70.0%,64,Receive free or reduced price lunch,Union Square Academy for Health Sciences,,02M533,6,34,
s,s,s,,s,s,s,45.5%,s,Students with Disabilities,Manhattan Bridges High School,,02M542,s,s,
s,46,s,,30.4%,s,15,53.8%,s,Students in temporary housing,Gregorio Luperon High School for Science and Mathe,,06M552,s,7,
79.2%,97,84,,22.0%,44,11,59.6%,61,All Students,N.Y.C. Museum School,,02M414,21,18,
s,10,s,,42.9%,s,6,65.4%,s,Students with Disabilities,M.S. 260 Clinton School Writers & Artists,,02M260,s,6,
s,s,s,,s,s,s,35.7%,9,Students in temporary housing,Murray Hill Academy,,02M432,s,s,
s,69,s,,17.5%,s,49,51.3%,81,Receive free or reduced price lunch,Community School for Social Justice,,07X427,s,11,
s,s,s,,,s,,50.0%,6,Students with Disabilities,Lower East Side Preparatory High School,,01M515,s,,
s,s,s,s,s,s,6,54.5%,s,English Language Learners,New Design High School,s,02M543,s,s,s
s,89,s,,50.8%,28,16,51.5%,84,Receive free or reduced price lunch,Park East High School,,04M495,10,31,
s,24,s,,58.3%,10,s,24.7%,s,Students with Disabilities,N.Y.C. Lab School for Collaborative Studies,,02M412,12,7,
93.2%,724,587,,24.2%,246,11,75.7%,281,All Students,Fiorello H. LaGuardia High School of Music & Art a,,03M485,223,96,
s,10,s,,40.7%,8,11,33.8%,s,Students with Disabilities,N.Y.C. Museum School,,02M414,s,11,
,,,,,,,46.9%,26,Students with Disabilities,Satellite Academy High School,,02M570,s,,
s,s,s,s,s,s,s,50.0%,s,English Language Learners,Richard R. Green High School of Teaching,s,02M580,s,s,s
s,14,s,,s,s,s,54.4%,s,Enrolled over the Counter,The College Academy,,06M462,s,s,
43.5%,195,83,,39.1%,61,71,45.2%,542,Receive free or reduced price lunch,Frederick Douglass Academy,,05M499,14,68,
s,s,s,,s,s,6,37.9%,12,Students in temporary housing,The Urban Assembly School for Global Commerce,,05M157,s,s,
,7,,s,,,,50.0%,s,English Language Learners,Forsyth Satellite Academy,s,01M458,s,,s
s,41,s,,s,s,18,31.5%,46,Students with Disabilities,Gotham Collaborative High School,,08X452,s,s,
s,s,s,,s,s,s,25.0%,s,Enrolled over the Counter,Institute for Collaborative Education,,02M407,s,s,
s,6,s,,37.5%,s,8,29.2%,s,Students with Disabilities,City College Academy of the Arts,,06M293,s,6,
,s,,,,,,52.1%,s,Enrolled over the Counter,Manhattan International High School,,02M459,s,,
s,17,s,,35.3%,s,9,41.9%,32,Students with Disabilities,The Maxine Greene HS for Imaginative Inquiry,,03M299,s,6,
s,14,s,,s,s,s,39.1%,24,Students in temporary housing,Independence High School,,02M544,s,s,
s,8,s,,s,s,s,31.8%,20,Students with Disabilities,Coalition School for Social Change,,04M409,s,s,
,172,,,,,,59.9%,152,Receive free or reduced price lunch,High School M560 - City As School,,02M560,13,,
s,s,s,s,s,s,s,29.7%,16,English Language Learners,Frederick Douglass Academy II Secondary School,s,03M860,s,s,s
s,19,s,,s,s,9,41.5%,27,Students in temporary housing,"Urban Assembly School of Design and Construction,",,02M300,s,s,
s,73,s,,43.8%,22,40,50.8%,97,Receive free or reduced price lunch,Vanguard High School,,02M449,8,35,
s,12,s,,s,6,11,63.0%,21,Students with Disabilities,Talent Unlimited High School,,02M519,s,s,
s,71,s,s,s,s,7,40.3%,82,English Language Learners,Liberty High School Academy for Newcomers,s,02M550,s,s,41
s,s,s,,s,s,s,54.3%,s,Students in temporary housing,High School for Excellence and Innovation,,06M423,s,s,
s,,s,,26.7%,s,19,s,98,All Students,Eagle Academy for Young Men of Harlem,,05M148,7,8,
s,s,s,s,s,s,s,33.3%,s,English Language Learners,Leadership and Public Service High School,s,02M425,s,s,s
s,56,s,,44.2%,16,14,30.0%,65,Receive free or reduced price lunch,Unity Center for Urban Technologies,,02M500,7,19,
s,20,s,,s,s,18,46.5%,39,Students with Disabilities,Eximius College Preparatory Academy: A College Boa,,09X250,s,s,
s,7,s,,s,s,9,51.4%,9,Students in temporary housing,South Bronx Preparatory: A College Board School,,07X221,s,s,
s,s,s,s,s,s,s,s,s,English Language Learners,Fiorello H. LaGuardia High School of Music & Art a,s,03M485,s,s,s
s,64,s,,s,s,6,42.6%,76,Receive free or reduced price lunch,Liberty High School Academy for Newcomers,,02M550,s,s,
s,84,s,,46.8%,37,30,66.5%,125,All Students,Richard R. Green High School of Teaching,,02M580,24,37,
,90,,,,,,46.5%,27,Receive free or reduced price lunch,Emma Lazarus High School,,02M394,8,,
s,,s,s,s,s,s,s,s,English Language Learners,Columbia Secondary School,s,05M362,s,s,s
,s,,s,,,,s,s,English Language Learners,Millennium High School,s,02M418,s,,s
s,65,s,,42.7%,24,39,72.4%,97,Receive free or reduced price lunch,High School of Hospitality Management,,02M296,18,35,
s,s,s,,s,s,s,55.0%,8,Enrolled over the Counter,The High School For Language And Diplomacy,,02M399,s,s,
,,,,,,,s,s,Enrolled over the Counter,Urban Assembly New York Harbor School,,02M551,s,,
,s,,,,,,s,s,Enrolled over the Counter,"Urban Assembly School of Business for Young Women,",,02M316,s,,
s,59,s,,14.9%,s,38,29.9%,55,Students with Disabilities,High School for Environmental Studies,,02M400,s,7,
s,s,s,,s,s,7,s,23,Students with Disabilities,"Urban Assembly School of Business for Young Women,",,02M316,s,s,
s,71,s,,40.3%,21,41,54.7%,55,Receive free or reduced price lunch,Bronx Studio School for Writers and Artists,,08X269,s,29,
s,18,s,,s,s,10,44.1%,35,Receive free or reduced price lunch,Coalition School for Social Change,,04M409,s,s,
s,14,s,,s,s,16,39.1%,28,Students with Disabilities,New Explorers High School,,07X547,s,s,
s,111,s,,24.8%,s,105,11.0%,106,All Students,Alfred E. Smith Career and Technical Education Hig,,07X600,s,37,
s,8,s,,s,s,6,40.5%,11,Students in temporary housing,Schuylerville Preparatory High School,,08X348,s,s,
41.2%,53,35,,44.6%,27,29,38.1%,52,Receive free or reduced price lunch,Urban Assembly New York Harbor School,,02M551,11,33,
,s,,,,,,s,s,Enrolled over the Counter,Murry Bergtraum High School for Business Careers,,02M520,s,,
s,15,s,,45.5%,s,11,36.5%,16,Students with Disabilities,The Laboratory School of Finance and Technology: X,,07X223,s,10,
,37,,,,,,45.3%,36,Enrolled over the Counter,Jill Chaifetz Transfer High School,,07X379,s,,
,s,,,,,,52.6%,s,Enrolled over the Counter,Harvest Collegiate High School,,02M534,s,,
33.1%,87,39,,39.8%,32,54,57.7%,162,All Students,"High School for Law, Advocacy and Community Justic",,03M492,s,43,
s,38,s,,29.1%,s,39,39.7%,59,All Students,Longwood Preparatory Academy,,08X530,s,16,
81.4%,110,92,,14.5%,41,9,58.5%,21,All Students,Baruch College Campus High School,,02M411,19,11,
s,13,s,,s,s,s,45.1%,17,Students in temporary housing,Leadership and Public Service High School,,02M425,s,s,
61.4%,401,263,,35.5%,175,88,71.1%,292,All Students,High School for Health Professions and Human Servi,,02M420,32,118,
s,s,s,,50.0%,s,s,33.3%,14,Students in temporary housing,Chelsea Career and Technical Education High School,,02M615,s,6,
,46,,,,,,47.3%,36,Enrolled over the Counter,Innovation Diploma Plus,,03M404,s,,
s,41,s,s,47.1%,s,38,52.0%,s,English Language Learners,Manhattan Bridges High School,s,02M542,s,41,s
,,,,,,,s,s,Enrolled over the Counter,High School of Hospitality Management,,02M296,s,,
s,28,s,,s,s,8,44.3%,21,All Students,High School for Excellence and Innovation,,06M423,s,s,
s,s,s,,s,s,s,41.4%,21,Enrolled over the Counter,Frederick Douglass Academy II Secondary School,,03M860,s,s,
s,51,s,s,21.4%,s,32,44.2%,35,English Language Learners,Manhattan International High School,s,02M459,s,9,25
s,20,s,s,27.0%,s,26,40.0%,7,English Language Learners,High School for Environmental Studies,s,02M400,s,10,s
,11,,,,,,45.5%,13,Students with Disabilities,Cascades High School,,01M650,s,,
s,11,s,s,s,s,10,31.9%,s,English Language Learners,Hudson High School of Learning Technologies,s,02M437,s,s,s
s,s,s,s,s,s,s,47.4%,8,English Language Learners,South Bronx Preparatory: A College Board School,s,07X221,s,s,s
s,79,s,,30.8%,s,24,44.5%,73,Receive free or reduced price lunch,"Facing History School, The",,02M303,s,12,
s,s,s,,s,s,s,56.3%,s,Enrolled over the Counter,East Side Community School,,01M450,s,s,
s,s,s,,s,s,s,s,s,Students in temporary housing,Felisa Rincon de Gautier Institute for Law and Pub,,08X519,s,s,
