borough_block_lot,bbl,nta,longitude,of_res_units,of_floors,owner_telephone
1007710004,1007710004.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.999202,22,6,212 921-4318
1008390070,1008390070.0,Midtown-Midtown South,-73.984152,0,12,212-997-5540
1008720001,1008720001.0,Gramercy,-73.989153,72,7,212-879-7737
100144000100.00%,1001440001.0,SoHo-TriBeCa-Civic Center-Little Italy,-74.009152,25,6,212-529-5688
1007790049,1007790049.0,Midtown-Midtown South,-73.993053,7,12,212-643-1717
1002850029,1002850029.0,Lower East Side,-73.988302,0,6,
1005730043,1005730043.0,West Village,-73.995811,421,21,718-993-4350
100561750100.00%,1005617501.0,West Village,-73.992509,229,14,212 986-0001
1008660035,1008660035.0,Murray Hill-Kips Bay,-73.980284,153,19,212 407-2400
1005220010,1005220010.0,West Village,-73.996136,0,12,212 477 3164
1005420049,1005420049.0,West Village,-74.000833,36,7,212-777-2109
1.008290016E+9,1008290016.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989354,0,12,212-532-7420
1011187501,1011187501.0,Lincoln Square,-73.980197,54,6,516-466-6680
1004950002,1004950002.0,SoHo-TriBeCa-Civic Center-Little Italy,-73.996977,20,12,212-431-1940
1008030007,1008030007.0,Midtown-Midtown South,-73.992515,0,12,212-684-7573
1008770042,1008770042.0,Gramercy,-73.984841,92,17,516 944-5000
1007800007,1007800007.0,Midtown-Midtown South,-73.994056,0,17,718 615-1157
1005697501,1005697501.0,West Village,-73.993902,26,12,212-529-5688
1008460026,1008460026.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.989824,0,6,212 260 0500
1004630024,1004630024.0,East Village,-73.988288,24,6,212-541-4477
1021310001,1021310001.0,Washington Heights South,-73.936215,60,6,516 569-4119
1008510054,1008510054.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.987615,0,12,212 765 1655
1010460054,1010460054.0,Clinton,-73.984646,42,7,212-489-7198
1008207504,1008207504.0,Hudson Yards-Chelsea-Flatiron-Union Square,-73.992191,57,14,212 716-3803
1008580006,,,,0,12,212-935-5252
1012390039,1012390039.0,Upper West Side,-73.972607,0,8,718 642-8700
1010110013,1010110013.0,Midtown-Midtown South,-73.978019,112,13,212-757-7500
1009180001,1009180001.0,Murray Hill-Kips Bay,-73.976632,106,14,0
1005640017,1005640017.0,West Village,-73.991015,0,4,212-674-1000
