comparable_rental_2_boro_block_lot,census_tract,staten_island_cooperatives_comparable_properties_net_operating_income,comparable_rental_1_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_estimated_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_2_estimated_gross_income,comparable_rental_1_gross_income_per_sqft
5-02829-0094,40,153114,5-02869-0001,ROSEBANK,311883,14.91,19400.0,289307.0,14.72
5-00008-0034,11,652964,5-00008-0019,NEW BRIGHTON-ST. GEORGE,594650,6.45,24120.0,155568.0,10.48
5-03536-0115,11401,410200,5-03591-0008,GRANT CITY,176259,16.75,7956.0,133243.0,14.33
5-00008-0019,7,365906,5-00008-0025,NEW BRIGHTON-ST. GEORGE,1012863,10.48,56724.0,594650.0,13.15
5-00595-0015,39,215644,5-00593-0590,GRYMES HILL,2169019,16.63,198384.0,3299545.0,17.1
