final_address,pkc_indistrict_all,district_3,district_indistrict,programname1,nyceec_others_all,district_indistrict_1,nyceec_siblings_all,district_outdissibs_1,district_zonedsib_1,seats,iepnote,specialpriority,subway_stop,nyceec_others_none,diversity,district_outdissibs,pkc_indistrict_some
"1021 45th xtreet, Brooklyn NY 11219",,,,Half-Day Program,,,,,,36 Half-Day,,,D,,,,
"1871 Walton Avenue, Bronx NY 10453",,,,Full-Day Program,x,,x,,,76 Full-Day,,,4 B D,,,,
"713 43rd Street, Brooklyn NY 11232",,,,Full-Day Program,x,,x,,,72 Full-Day,,,D R,,,,
"1926 Cross Bronx Expressway, Bronx NY 10472",,,,Half-Day Program,,,,,,26 Half-Day,,,6,,,,
"50 Monroe olace, Brooklyn NY 11201",,,,Full-Day Program,,,x,,,20 Full-Day,,,2 3 4 5 A C F R,,,,
"71 Lincoln Place, Brooklyn NY 11217",,,,Full-Day Program,,,x,,,80 Full-Day,,,2 3 4 5 B D N Q R,,,,
"601 Parkside Avenue, Brooklyn NY 11226",,,x,Full-Day Program,,,,,,54 Full-Day,,,2 5 Q,,,x,
"711 Lenox Avenue, Manhattan NY 10039",,,,Full-Day Program,x,,x,,,18 Full-Day,,,2 3 4 5 A B C D,,,,
"215 South End Avenue, Manhattan NY 10280",,,,Full-Day Program,,,x,,,35 Full-Day,,,1 2 3 4 5 A C E J R Z,,,,
"100 Clermont Avenue, Brooklyn NY 11205",,,x,Full-Day Program,,,,,,54 Full-Day,,,G,,,x,
"1711 Haight Avenue, Bronx NY 10461",,,,Full-Day Program,x,,x,,,136 Full-Day,,,,,,,
"$1257 38th Street, Brooklyn NY 11218",,,,Full-Day Program,,,,,,"37 Full-Day, 60 Half-Day",,,D F G,x,,,
"2863 Webster Avenue, Bronx NY 10458",,,,Full-Day Program,,,,,,50 Full-Day,,,B D,,,,
"984 Faile Street, Bronx NY 10459",,,x,Full-Day Program,,,,,,72 Full-Day,,,2 5 6,,,x,
"321 Roebling Street, Brooklyn NY 11211",,,,Full-Day Program,x,,x,,,35 Full-Day,,,J M Z,,,,
"1181 East New York Avenue, Brooklyn NY 11212",,,,Full-Day Program,x,,x,,,80 Full-Day,,,3 4,,,,
"346 Avenue P, Brooklyn NY 11204",,x,,Full-Day Program,,,,,,72 Full-Day,,,F N,,,,
"3512 Dekalb Avenue, Bronx NY 10467",,,,Full-Day Program,,,x,,,"20 Full-Day, 54 Half-Day",,,4,,,,
"211 Ainslie Street, Brooklyn NY 11211",,,,Full-Day Program,x,,x,,,40 Full-Day,,,G L,,,,
"21 Bay 11th Street, Brooklyn NY 11214",x,,,Full-Day Program,,,,,,288 Full-Day,,,D,,,,
"314 44th Street, Brooklyn NY 11220",,,,Full-Day Program,x,,x,,,51 Full-Day,,,N R,,,,
"3893 Dyre Avenue, Bronx NY 10466",,,,Full-Day Program,x,,x,,,58 Full-Day,,,5,,,,
"800 Lydig Avenue, Bronx NY 10462",,x,,Full-Day Program,,,,,,36 Full-Day,,,2 5,,,,
"715 East 105th Street, Brooklyn NY 11236",,,,Full-Day Program,x,,x,,,20 Full-Day,,,L,,,,
