schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
17KBXS,"775 Rogers Avenue, Brooklyn NY 11226",,,,Contact program,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBXSFDPK
19KBJQ,"921 Hegeman Avenue, Brooklyn NY 11208",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBJQFDPK
02M116,"210 East 33rd Street, Manhattan NY 10016",,,,,Outdoor (Onsite) Playspace,x,,,Manhattan,02M116FDPK
12X212,"1180 Tinton Avenue, Bronx NY 10456",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12X212FDPK
19K202,"982 Hegeman Avenue, Brooklyn NY 11208",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K202FDPK
20KCMA,"5816 13th Avenue, Brooklyn NY 11219",,,,8:15am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20KCMAFDPK
20K112,"7115 15th Avenue, Brooklyn NY 11228",,,,7:30am,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Brooklyn,20K112FDPKIT
20KBQB,"762 59th Street, Brooklyn NY 11220",,,,8am,Contact program,,,,Brooklyn,20KBQBFDPK
17KAWQ,"1313 Union Street, Brooklyn NY 11225",,,,7:30am,Outdoor (Onsite) Playspace,,,,Brooklyn,17KAWQFDPK
09XAUH,"499 East 175th Street, Bronx NY 10457",,,,,Contact program,,,,Bronx,09XAUHFDPK
14KABG,"563 Bedford Avenue, Brooklyn NY 11211",,,,,Contact program,,,,Brooklyn,Contact program to apply.
08XAIC,"888 Westchester Avenue, Bronx NY 10459",,,,,Contact program,,,,Bronx,08XAICFDPK
11XAPW,"3950 Bronxwood Avenue, Bronx NY 10466",,,,,Outdoor (Offsite) Playspace,,,,Bronx,11XAPWFDPK
15KBKB,"460 Atlantic Avenue, Brooklyn NY 11217",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,15KBKBFDPK
16K335,"130 Rochester Avenue, Brooklyn NY 11213",,,x,7:15am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K335FDPK
19KBLB,"851 Liberty Avenue, Brooklyn NY 11208",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBLBFDPK
02MBIW,"4 Washington Square Village, Manhattan NY 10012",,,,8am,Outdoor (Offsite) Playspace,,,,Manhattan,02MBIWFDPK
06M004,"500 West 160th Street, Manhattan NY 10032",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,06M004FDPK
21K095,"345 Van Sicklen Street, Brooklyn NY 11223",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K095FDPK
11XAAA,"1180 East 214th Street, Bronx NY 10469",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11XAAAFDPK
10X209,"313 East 183rd Street, Bronx NY 10458",,,x,,Outdoor (Onsite) Playspace,,,,Bronx,10X209FDPK
07XAHW,"528 East 146th Street, Bronx NY 10455",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07XAHWFDPK
16K021,"180 Chauncey Street, Brooklyn NY 11233",,,x,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K021FDPK
10XADP,"590 West 235th Street, Bronx NY 10463",,,,,Contact program,,,,Bronx,10XADPFDPK
