school_name,se_services,partner_cbo,partner_other,longitude,overview_paragraph,school_sports,psal_sports_coed,school_type
Women's Academy of Excellence,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The Leadership Program, The Coalition of 100 Black Women",,-73.85658,"The Women’s Academy of Excellence is an all-girls public high school, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science, and civic responsibility. Our future scholars are exposed to a challenging curriculum that encourages them to achieve their personal best.",,Stunt,All Girls School
Rockaway Park High School for Environmental Sustainability,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The Rockaway Waterfront Alliance, The Cloud Institute, Children’s Environmental Literacy Foundation, C-CAP (Careers Through Culinary Arts Program), National Center For Construction , Education and Research, The New York City Leadership Academy, The Australian United States Services in Education (AUSSIES)",,-73.822624,The mission of Rockaway Park High School is to prepare students for college and careers through a curriculum centered on environmental sustainability. We believe learning is most dynamic when students are given hands-on experiences through an inter-disciplinary curriculum that reaches a wide range of learning styles. Rockaway Park High School is a highly personalized environment in which each student is known well by the school community. Students graduate with the critical thinking skills necessary to pursue their scholarly passions and interests after high school.,,,
The Urban Assembly School for Collaborative Healthcare,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.868328,"The Urban Assembly School for Collaborative Healthcare (UASCH) recognizes that healthcare is changing with more healthcare professionals working in collaborative teams. As a CTE school, we prepare students for college and careers with a broad and deep focus on unique pathways. Coursework is as challenging as it is supportive, with a strong emphasis on cross-curricular and project-based learning, including community action projects focused on health issues in New York City. As a member of the highly successful Urban Assembly network of schools, UASCH. features strong partnerships with top-tier healthcare facilities that work closely with staff to bring timely healthcare topics into the classroom and expose students to modern healthcare facilities. Graduates will be ready to serve any number of critical roles in the increasingly collaborative field of healthcare.",,Cricket,CTE School
EBC High School for Public Service - Bushwick,This school will provide students with disabilities the supports and services indicated on their IEPs.,"East Brooklyn Congregations, Youth Services Opportunities","Industrial Area Foundation, Inc.",-73.929107,"EBC High School for Public Service-Bushwick is a small school focused on individual excellence, high academic standards, and service to the community. We have an educational culture that instills respect, self-discipline and strong intellectual values. At EBC, students are offered the opportunity to serve their community and are supported by our staff through an advisory program. Students, staff and parents/guardians thrive in a school that values personalization in education and prepares students for college and life after high school while nurturing and empowering students to serve as tomorrow’s leaders, today!",,,
Jacqueline Kennedy Onassis High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"College Success Program, Hunter College, Virtual Enterprises International, National Academy Foundation, Roundabout Theatre, NYC Mentoring Program, NYC School Volunteers, Learning Leaders, College Now Program w/ City College of New York, Bottom Line, Upward Bound Program, and the NY Academy of Art, The Teen Choice Program, Inwood House, Intrepid LIFTT Program, Junior Achievement, Opportunity Network, Big Brothers/Big Sisters of NYC, 92nd Street Y-Teensgiving",,-73.983078,"At Jacqueline Kennedy Onassis High School (JKO), students actively participate in the curriculum and school activities. Students are programmed based on their needs and interests. JKO is a school of International Business Studies, where all students complete eight credits in Business. Virtual Enterprise (VE), Hospitality & Tourism and Accounting are the core areas of study. We have developed strong relationships with our partners and various theatrical and dance organizations. Additionally, we require two years of Spanish, four years of mathematics, and four years of science for a JKO endorsed diploma.",Boys' Basketball,,
Pathways in Technology Early College High School (P-Tech),This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.938843,"At Pathways in Technology Early College High School (P-TECH), students drawn to future careers in information technology (IT), computers, engineering, math, and science receive individualized support in preparing for and securing an entry-level position in the highly competitive IT industry. As a founding partner of the school, IBM (and other corporations) will provide all students with internship and training opportunities, exposing them to real-world technology careers. In addition, P-TECH students are able to earn an Associate degree or up to two years of college credit from CUNY's New York City College of Technology – at no cost – while still in high school.","Cheerleading, Step Team",,NYC P-Tech 9-14
Riverdale / Kingsbridge Academy (Middle School / High School 141),This school will provide students with disabilities the supports and services indicated on their IEPs.,"Riverdale Community Center, Kingsbridge-Riverdale-Van Cortlandt Development Corp.","Kaplan, Inc., The College Board",-73.913486,"Riverdale/Kingsbridge Academy (RKA) is committed to providing a challenging academic curriculum in a community-based environment. We are a neighborhood grades 6 through 12 academy within a residential zone. Students, families, and the community come first!","Basketball, Cheerleading, Faculty-Student Games, High School Field Day, RKA Dancers, Running, Step, Tennis, Yoga",Golf,
William Cullen Bryant High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ELMCOR, Generation Citizen, Global Kids, Goodwill Industries, Horticultural Society, Leadership Program, South Asian Youth Action (SAYA ),Wildlife Conservation of America, and Zone 126",Upward Bound Program,-73.910514,"Our school is dedicated to ensuring that all students reach their full potential. Using interest-based, small learning communities and a strong honors program, each student is empowered to reach his/her highest academic potential in a nurturing environment. We provide students with real-world experience while fostering and promoting postsecondary readiness. Students are exposed to a plethora of co-curricular, extracurricular, and athletic activities to help them become well-rounded global citizens.",,"Cricket, Golf",
Repertory Company High School for Theatre Arts,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.984382,"Repertory Company High School for Theatre Arts offers a college preparatory academic program and New York City’s only comprehensive three part theatre arts sequence, where students hone their skills in music, dance, and acting. Students completing our program will graduate with an Advanced Regents diploma with Arts Endorsement in Theatre. Our location, in the heart of Times Square, supports our school’s focus. Our small size offers students an intimate environment in which to explore all aspects of theatre from production to performance. Students can participate in the many student productions, including comedy or classical drama, student-written works, and a school-wide musical production each year. Our students maintain high academic standards and possess the willingness to explore all the imagination and creativity of theatre arts.",,,
Secondary School for Law,This school will provide students with disabilities the supports and services indicated on their IEPs.,Project Reach Youth,,-73.979287,"As a community of committed learners, Secondary School for Law cultivates a spirit of excellence in our students through rigorous academic and extracurricular activities, preparing them to engage in challenging post-secondary experiences. Through the integration of demanding support programming such as academic tutoring, personalized mentoring, and one-on-one college guidance, our goal is to help students develop their own voices by teaching them the ability to solve complex problems, think critically, and advocate persuasively for themselves and their communities.","Boys Volleyball, Soccer, Weightlifting",,
