bis_nyc_device_id,cargovernor_tripping_speed,elevator_length_feet,glass_hoistway,travel_from_floor,cargovernor_ropes_material,elevator_length_inches,fire_rated_construction_type,atruim_elevator,contact_type,controller_manufacturer,compensation_tie_down,hoist_car_manufacturer,machine_type,machine_counterweight_ropes,car_inside_depth_feet,car_buffer_reduced_stroke,car_inside_depth_inches,elevator_operation,car_safety_type_other,load_weighing_device,accessibility_lift,overload_device,conveyor_type,car_inside_width_feet,meets_the_stretcher_car,loft_law_building,interlockin_blind_hoistway,occupant_evacuation_elevator
1P37139,395.0,0.0,No,G,Steel,0.0,Yes,No,g,,No,,Traction,,4.0,No,0.0,Power,,No,,,,6.0,No,No,No,No
1P19692,1368.0,800.0,No,C,Steel,0.0,Yes,No,MOH,SCHINDLER,No,,Traction,,6.0,Yes,8.0,Power,,Yes,,,,5.0,Yes,No,No,No
1P23712,625.0,160.0,No,1,Steel,0.0,Yes,No,wittur,MCE,No,,Traction,,5.0,No,3.0,Power,,Yes,,,,6.0,Yes,No,No,No
,625.0,295.0,No,"-2,-1",Steel,0.0,Yes,No,G,SMARTRISE,No,,Traction,,5.0,No,4.0,Power,,Yes,,,,6.0,Yes,No,No,No
1P0994927,855.0,446.0,No,B,Steel,0.0,Yes,No,mo,MCE,Yes,,Traction,,5.0,No,0.0,Power,,Yes,,,,5.0,Yes,No,No,No
1P1,850.0,985.0,No,L,Steel,0.0,Yes,No,NGPOK,Otis,No,,Traction,,6.0,Yes,6.0,Power,,Yes,,,,6.0,No,No,No,No
4P0995587,,0.0,No,1,,0.0,Yes,No,G,SAVARIA,No,,Hydraulic,,4.0,No,0.0,Power,SLACK CABLE,No,,,,4.0,No,No,No,No
1P21456,,0.0,No,"1,2",Steel,0.0,Yes,No,G,,No,,Others,,3.0,No,0.0,Power,,No,,,,2.0,No,No,No,No
3W0997347,,,,LL,,,No,,,,,,Others,,4.0,,1.0,Power,,,Platform Lift,,,2.0,,,,
1P27838,1200.0,520.0,No,"1,23",Steel,0.0,Yes,No,MOCP,,No,,Traction,,7.0,Yes,7.0,Power,,No,,,,5.0,Yes,No,No,No
1P1809,175.0,0.0,No,B,Steel,0.0,Yes,No,G,,No,,Traction,,4.0,No,0.0,Manual,,No,,,,5.0,No,No,No,No
3P10374,,0.0,No,C,,0.0,Yes,No,6940,,No,,Hydraulic,,4.0,No,9.0,Power,,Yes,,,,5.0,No,No,No,No
3P13822,175.0,0.0,No,C,Steel,0.0,Yes,No,,,No,,MRL,,0.0,No,0.0,Power,,No,,,,0.0,No,No,No,No
1P0999087,855.0,300.0,No,1,Steel,5.0,Yes,No,Wittur,KONE,No,,MRL,,5.0,Yes,6.0,Power,,Yes,,,,6.0,Yes,No,No,No
1P15679,452.0,229.0,No,L,Steel,0.0,Yes,No,G,GAL,No,,Traction,,5.0,No,7.0,Power,,Yes,,,,6.0,No,No,No,No
,280.0,0.0,No,1,Steel,0.0,Yes,No,I-MOTION,OTIS,No,,MRL,,8.0,No,4.0,Power,,Yes,,,,5.0,Yes,No,No,No
1P44246,,0.0,No,"C,1",Steel,0.0,Yes,No,G,ACT,No,,Hydraulic,,4.0,No,1.0,Power,,No,,,,5.0,No,No,No,No
3P13796,,60.0,No,SC,,0.0,Yes,No,Existing,,No,,MRL,,4.0,Yes,4.0,Power,,Yes,,,,6.0,No,No,No,No
1D0994881,,,,lower,,,Yes,,,Matot,,,Traction,,3.0,,,Power,,,,,,3.0,,,,
4P10671,,,,L,Steel,,,,,,,,,,,,,,,,,,,,,,,
3P15441,,0.0,No,C,Steel,10.0,Yes,No,G,Claddagh,No,,Traction,,8.0,No,9.0,Power,,No,,,,6.0,No,No,No,No
2P3554,,,,..1,,,,,,,,,,,,,,,,,,,,,,,,
3P10209,452.0,0.0,No,1,,0.0,Yes,No,G,SCHINDLER,No,,Traction,,5.0,No,2.0,Power,,No,,,,6.0,No,No,No,No
1P18140,825.0,1100.0,No,L,Steel,0.0,Yes,No,G,,No,,Traction,,4.0,No,9.0,Power,,No,,,,4.0,Yes,No,No,No
4P15525,,0.0,No,1,,0.0,Yes,No,existing,,No,,Hydraulic,,7.0,No,0.0,Power,,No,,,,10.0,Yes,No,No,No
2P4307,452.0,291.0,No,B,Steel,0.0,Yes,No,G,ESI,No,,Traction,,4.0,No,2.0,Power,,Yes,,,,6.0,No,No,No,No
1P29198,625.0,0.0,No,"L,",Steel,0.0,Yes,No,G,Existing,No,,Traction,,5.0,No,2.0,Power,,Yes,,,,6.0,No,No,No,No
4P5364,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1P23383,280.0,140.0,No,L,Steel,0.0,Yes,No,GS,,No,,Traction,,3.0,No,8.0,Power,,No,,,,5.0,No,No,No,No
3P7197,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
1P44839,452.0,220.0,No,"B,L",Steel,0.0,Yes,No,G,MCE,No,,Traction,,7.0,Yes,3.0,Power,,Yes,,,,8.0,No,No,No,No
,236.0,,,groun,,,,,na,,,alimak,Rack and Pinion,,4.0,,11.0,,,Yes,,,,10.0,,,,
1P28610,960.0,312.0,No,C,,0.0,Yes,No,G,Existing,Yes,,Traction,1,6.0,No,2.0,Power,,No,,,,6.0,Yes,No,Yes,No
4P2337,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
1P35609,,0.0,No,L,,0.0,Yes,No,G,DOVER,No,,Hydraulic,,5.0,No,11.0,Power,,No,,,,5.0,No,No,No,No
,250.0,,,1,,,,,,,,ANKA,Rack and Pinion,,12.0,,6.0,,,No,,,,5.0,,,,
,275.0,,,1ST,,,,,DIRECT,,,FRACO,Rack and Pinion,,4.0,,9.0,,,No,,,,12.0,,,,
1P46614,,,,1,Steel,,,,,,,,,,,,,,,,,,,,,,,
,1440.0,462.0,No,C3,Steel,11.0,Yes,No,G,MCE,No,,Traction,,4.0,Yes,8.0,Power,,Yes,,,,7.0,Yes,No,No,No
3P3310,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4P11336,,0.0,No,1,,0.0,Yes,No,GS,MCE,No,,Hydraulic,,4.0,No,6.0,Power,,No,,,,6.0,No,No,No,No
1P40720,,375.0,No,C,,0.0,Yes,No,G,,No,,Traction,,5.0,No,9.0,Power,,Yes,,,,4.0,No,No,No,No
1P18753,855.0,170.0,No,1,Steel,0.0,Yes,No,g,mce,No,,Traction,,4.0,No,7.0,Power,,Yes,,,,5.0,No,No,No,No
,280.0,98.0,No,1st,Steel,0.0,Yes,No,MOVFR,Smartrise,No,,MRL,,4.0,No,9.0,Power,,Yes,,,,5.0,Yes,No,No,No
1P25582,970.0,360.0,No,L-20,Steel,0.0,Yes,No,MOH,,No,,Traction,,4.0,No,9.0,Power,,No,,,,6.0,Yes,No,No,No
3P10829,,0.0,No,C,,0.0,Yes,No,g,EXISTING,No,,Traction,,4.0,No,3.0,Power,,No,,,,6.0,Yes,No,No,No
,407.0,119.0,No,1,Steel,0.0,Yes,No,H152,Schindler,No,,Traction,,5.0,No,8.0,Power,,Yes,,,,7.0,Yes,No,No,No
1P15716,740.0,0.0,No,1,Steel,0.0,Yes,No,G,,No,,Traction,,5.0,No,0.0,Power,,No,,,,5.0,No,No,No,No
3P14707,,240.0,No,1,Steel,0.0,Yes,No,g,,No,,Traction,,4.0,No,9.0,Power,,No,,,,6.0,No,No,No,No
3P4033,175.0,0.0,No,B,Steel,0.0,Yes,No,N,,No,,Traction,,4.0,No,0.0,Manual,,No,,,,5.0,No,No,No,No
2P3268,,2.0,No,1,Steel,0.0,Yes,No,SLIDE,ESI,No,,Traction,,4.0,No,6.0,Power,,Yes,,,,6.0,No,No,Yes,No
1P718,855.0,280.0,No,LL,,0.0,Yes,No,GAL,Otis,No,,Traction,,4.0,No,8.0,Power,,Yes,,,,5.0,Yes,No,No,No
1P30234,970.0,457.0,No,1,Steel,6.0,Yes,No,MO,MCE,Yes,,Traction,,5.0,No,1.0,Power,,Yes,,,,7.0,Yes,No,No,No
1P18103,,0.0,No,1,Steel,0.0,Yes,No,g,,No,,Traction,,0.0,No,0.0,Power,,No,,,,0.0,No,No,No,No
1P13343,280.0,140.0,No,B,Steel,0.0,Yes,No,G,CLADDAGH,No,,Traction,0,4.0,No,4.0,Power,,Yes,,,,5.0,No,No,No,No
1P20419,,0.0,No,B,,0.0,Yes,No,G,,No,,Traction,,3.0,No,7.0,Power,,No,,,,6.0,No,No,No,No
1F5395,280.0,225.0,No,B,Steel,0.0,Yes,No,EMS,Otis,No,,Traction,,10.0,No,5.0,Power,,Yes,,,,8.0,Yes,No,No,No
3F0997908,210.0,115.0,No,*G,Steel,0.0,Yes,No,G,Smartrise,Yes,,MRL,,19.0,No,4.0,Power,,Yes,,,,7.0,Yes,No,No,No
,,,,G,,,No,,,,,,Winding drum,,9.0,,9.0,Power,,,,Yes,Vertical Reciprocating conveyor,9.0,,,,
3P0995186,452.0,184.0,No,C,Steel,6.0,Yes,No,G,ESI,No,,MRL,0,5.0,No,4.0,Power,,Yes,,,,6.0,Yes,No,No,No
,377.0,,,L 1,,,,,ELECTROMECHANICAL,,,STROS,Rack and Pinion,,16.0,,0.0,,,Yes,,,,4.0,,,,
1P46447,,0.0,No,G,,0.0,Yes,No,55401,TKE,No,,Hydraulic,,4.0,No,3.0,Power,,No,,,,6.0,No,No,No,No
1P29478,1150.0,450.0,No,2,Steel,0.0,Yes,No,GS,O.Thompson,Yes,,Traction,,5.0,No,8.0,Power,,Yes,,,,6.0,No,No,No,No
1P1661,402.0,200.0,No,"L,3",Steel,0.0,Yes,No,MO,,No,,Others,,5.0,No,0.0,Manual,,No,,,,3.0,No,No,No,No
1P18044,,0.0,No,L,Steel,0.0,Yes,No,G,,No,,Traction,,6.0,No,8.0,Power,,No,,,,5.0,No,No,No,No
,175.0,0.0,No,C,Steel,0.0,Yes,No,MOVFR,Esi,No,,Hydraulic,,4.0,No,7.0,Power,,Yes,,,,7.0,No,No,No,No
1P46780,,306.0,No,L,,0.0,Yes,No,existing,GAL,No,,MRL,,4.0,No,3.0,Power,,No,,,,6.0,Yes,No,No,No
3P7312,,0.0,No,1,,0.0,Yes,No,MO,ESI,No,,Hydraulic,,4.0,No,3.0,Power,,No,,,,6.0,No,No,No,No
1P19799,337.0,0.0,No,B,Steel,0.0,Yes,No,GS,,No,,Traction,,5.0,Yes,8.0,Power,,No,,,,4.0,No,No,No,No
