bis_nyc_device_id,attendant_operation,device_type,new_hoistway,cwtgovernor_location,hoist_car_weight,counter_weight_guard,cargovernor_location,total_number_of_openings,escalator_manufacturer,number_of_openings_front,car_counterweight_ropes_qty,car_opening_operation,hoist_mast_manufacturer,only_elevator_in_building,regenerative_drive,total_travel_feet,top_emergency_exit_min_side,car_opening_direction,controller_location,escalator_step_width_inches,hoist_rope_qty,car_safety_type,elevator_manufacturer,occupied_space_below,destination_dispatch_system,top_emergency_exit_min_area,escalator_travel_from_floor,escalator_rise_feet,self_closing_emergency_doors,device_status,machine_model,machine_location,physical_address-pit_depth
2P3271,,Elevator,No,,,No,ROOF,7.0,,7.0,,Power,,No,No,56.0,16.0,Horizontal,ROOF,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,478,ROOF,2550 INDEPENDENCE AVENUE-nan
,,Elevator,Yes,,,No,OVERHEAD,9.0,,9.0,,Power,,No,No,78.0,16.0,Horizontal,FLOOR R,,6,Flexible Guide,WITTUR,No,No,400.0,,,No,Active,NMX14,OOVERHEAD,1017 HOME STREET-nan
,,Elevator,Yes,,,No,,4.0,,1.0,,Power,,Yes,No,22.75,0.0,Horizontal,BASEMENT,,2,Instantaneous,SAVARIA,No,No,0.0,,,No,Active,ORION,BASEMENT,835 55 STREET-nan
1P7937,,Elevator,No,,,No,ROOF,15.0,,15.0,2.0,Power,,No,No,160.0,16.0,Horizontal,SB,,2,Gradual WC,GAL,No,No,400.0,,,No,Active,,SB,840 PARK AVENUE-nan
4P3299,,Elevator,No,,,No,MACHINE ROOM,21.0,,21.0,,Power,,No,No,175.0,16.0,Horizontal,ROOF,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,,ROOF,104-60 QUEENS BOULEVARD-nan
1P3256,,Elevator,No,,,No,basement,11.0,,11.0,,Power,,No,No,300.0,16.0,Horizontal,Basement,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,63OH,Basement,53 5 AVENUE-nan
1P37423,,Elevator,No,,,No,M/R,21.0,,18.0,,Power,,No,No,228.0,16.0,Horizontal,M/R,,6,Flexible Guide,OTIS,No,No,3.0,,,No,Active,,20TH FLOOR M/R,60 PARK AVENUE-nan
1P26912,,Elevator,No,,,No,,2.0,,2.0,,Power,,No,No,10.0,16.0,Horizontal,motor room @C,,,,existing,No,No,400.0,,,No,Active,existing,motor room @C,777 3 AVENUE-nan
1P6351,,Elevator,No,,,Yes,,11.0,,11.0,,Power,,No,No,144.0,16.0,Horizontal,Overhead,,06,Gradual WC,GAL,No,Yes,16.0,,,Yes,Active,,Overhead,105 WEST 34 STREET-nan
,,Elevator,Yes,,,No,TOC,14.0,,14.0,,Power,,No,No,131.8,16.0,Horizontal,Machine Room,,5,Flexible Guide,Otis,No,No,400.0,,,No,Work in Progress,3.2T,Overhead,2050 GRAND CONCOURSE-nan
1P25582,,Elevator,No,Overhead,,No,Overhead,15.0,,15.0,,Power,,No,No,332.0,16.0,Horizontal,Overhead,,6,Flexible Guide,GAL,Yes,No,400.0,,,No,Active,TX R5,Overhead,280 PARK AVENUE-nan
1P27178,,Elevator,No,secondary,,No,secondary,20.0,,20.0,,Power,,No,No,453.0,16.0,Horizontal,motor room @roof,,6,Flexible Guide,GAL,Yes,Yes,400.0,,,No,Active,existing,motor room @roof,51 WEST   52 STREET-nan
1P42794,,Elevator,No,,,Yes,,4.0,,3.0,,Power,,No,No,35.0,16.0,Horizontal,Adjacent,,,,GAL,No,No,400.0,,,No,Active,,Adjacent,796 AVENUE OF THE AMERICAS-nan
4P1877,,Elevator,No,,,Yes,,7.0,,7.0,,Power,,Yes,No,74.0,16.0,Horizontal,overhead,,4,Instantaneous,gal,No,No,400.0,,,No,Active,,overhead,40-50 DENMAN STREET-nan
1F5199,,Elevator,No,,,No,,2.0,,2.0,,Power,,No,No,12.0,16.0,Horizontal,Basement,,,,G.A.L.,No,No,400.0,,,No,Active,S2V-SR-5.5,Basement,51 WEST 52 STREET-nan
2P10665,,Elevator,No,,,Yes,,9.0,,9.0,,Power,,Yes,No,73.0,16.0,Horizontal,MACHINE ROOM,,5,Flexible Guide,THYSSENKRUPP,No,No,400.0,,,Yes,Active,,OVERHEAD,443 EAST 186 STREET-nan
1P1000251,,Elevator,Yes,,,Yes,Overhead,14.0,,14.0,,Power,,No,No,135.21,20.0,Horizontal,Machine Room,,6,Flexible Guide,GAL,No,No,400.0,,,No,Work in Progress,Mini2-17.5,Overhead,429 2 AVENUE-nan
1P45036,,Elevator,No,,,No,M/R,24.0,,24.0,,Power,,No,No,288.0,16.0,Horizontal,M/R,,5,Flexible Guide,ESI,No,No,3.0,,,No,Active,805C,OVERHEAD M/R,484 10 AVENUE-nan
1P34091,,Elevator,No,,,No,OVERHEAD,10.0,,10.0,,Power,,No,No,119.42,16.0,Horizontal,OVERHEAD,,6,Gradual WC,GLA,No,No,400.0,,,No,Active,#139,OVERHEAD,363 HUDSON STREET-nan
2P1227,,Elevator,No,,,Yes,,7.0,,7.0,,Power,,Yes,No,7.0,32.0,Horizontal,BASEMENT,,4,Instantaneous,GAL,Yes,No,43.0,,,No,Active,,BASEMENT,1245 GRANDVIEW PLACE-nan
