job_filing_number,flame_heat_smoke_protection,machine_counterweight_ropes_2,elevator_type,elevator_landing,counter_weight_buffer_stroke_1,device_confirming_with_seismic,cwtgovernor_type,escalator_capacity_lbs,hoist_model_num,counter_weight_buffer,number_of_stops,hole_less_elevator,escalator_tandem_operation,platform_lift_type,escalator_number_of_flat,door_monitoring_circuits,counter_weight_buffer_reduced,car_buffer_stroke_inches,controller_model,machine_counterweight_ropes_1,hoist_safety_capacity,hoist_counter_weighted,escalator_brake_torque,elevator_control,private_residence,cargovernor_ropes_ultimate,cwtgovernor_tripping_speed,hoist_opening,mode_of_operation,hoist_capacity,car_hoist_location,machine_counterweight_ropes_3,building_elevator_numbers,cwtgovernor_ropes_size
M01042439-I1,,,Passenger,L-80,6.0,No,,,,Oleo,29.0,,,,,Yes,Yes,6.0,MCSS - REGEN,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,G2,
Q00889875-I1,,,Passenger,6,,No,,,,,6.0,No,,,,Yes,No,3.5,vvvf,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00047252-I1,,,Passenger,"1,2",,No,,,,,2.0,No,,,,No,No,3.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00105366-I1,,,Passenger,4,2.0,No,,,,Exisitng,4.0,,,,,Yes,No,2.0,Otis HKB,,,,,Resistance,,,,Door,Automatic P.B.,,,,,
M00147584-I1,,,Passenger,"1-16,R and 1-3 Rear",9.0,Yes,,,,Hollister Whitney,17.0,,,,,Yes,No,9.0,DVVVF-PC,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,1,
M00171891-I1,,,Passenger,12,0.0,No,Centrifugal,,,,12.0,,,,,No,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
X00688848-P1,,,Passenger,6,1.5,No,Centrifugal,,,EX,6.0,,,,,Yes,No,1.5,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
Q00322628-I1,,,Passenger,6,,No,,,,,6.0,,,,,Yes,No,4.0,13GX,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00305648-I1,,,Passenger,9,5.0,No,,,,,9.0,,,,,No,No,5.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00547393-P2,,,Passenger,11,8.0,No,,,,Armor,11.0,,,,,Yes,No,8.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,pe5,
M00318072-I1,,,Passenger,6,,No,Centrifugal,,,,6.0,Yes,,,,Yes,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00503279-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00174384-I1,,,Passenger,"L,1-6",,No,,,,,7.0,No,,,,Yes,No,3.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00898726-I1,,,Passenger,16,9.0,No,,,,HW,16.0,,,,,Yes,No,9.0,IMC-AC,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00418113-P2,,,Passenger,"C, 1 to 8",2.83,Yes,,,,Otis,9.0,,,,,Yes,No,2.83,G2S,,,,,Solid State,,3600,,Door,Automatic P.B.,,,,657832-Elev2,
M00456084-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
M00193197-I1,,,Passenger,"B,L,OR,2-11",,No,,,,,13.0,,,,,Yes,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,15,
M00121955-I1,,,Passenger,38,2.0,No,,,,OTIS,38.0,,,,,No,No,2.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
M00254733-I1,,,Passenger,12,10.0,No,,,,WEECO,12.0,,,,,Yes,No,10.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00026276-P1,,,Passenger,7,5.0,No,Centrifugal,,,THYSSENKRUPP,7.0,,,,,No,No,5.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
B01186523-I1,,,Passenger,1-2-3,,Yes,,,,,3.0,Yes,,,,Yes,No,6.0,VVVF,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00315470-I1,,,Passenger,"B, 1-6",,No,,,,,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00595452-I1,,,Passenger,15,6.0,Yes,,,,HW,15.0,,,,,Yes,Yes,6.0,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,B7,
B00102117-I1,,,Passenger,6,,No,Centrifugal,,,,6.0,,,,,No,,2.75,,,,,,Solid State,,,,Door,Automatic P.B.,,,,1,3/8
M01050759-I1,,,Passenger,"C,*1,2,3,4",5.0,No,,,,Hollister Whitney,5.0,,,,,Yes,No,5.0,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00128274-I1,,,Passenger,"B,L,M THRU 12",5.0,No,,,,WESTINGHOUSE,12.0,,,,,No,No,5.0,IMC-SCR,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,PE3,
M00183708-I1,,,Passenger,10,4.0,No,,,,EXISTING,9.0,,,,,No,No,4.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
B01037519-I1,,,Passenger,6,,Yes,,,,,6.0,No,,,,No,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,PE1,
M00163402-I1,,,Passenger,7,4.0,No,,,,EXISTING,7.0,,,,,No,No,4.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,PE1,
S08026288-P1,,,Passenger,3,2.9,No,,,,OLEO,3.0,,,,,Yes,No,2.9,AC Traction,,,,,Solid State,,"12,319",,Door,Automatic P.B.,,,,,
B00807906-I1,,,,,,,,,,,2.0,,,Inclined Platform Lift,,,,,,,,,,,No,,,Gate,,,,,,
M00080062-P1,,,Passenger,17,9.0,No,,,,HW,17.0,,,,,Yes,No,9.0,SRA,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,Car1,
M00201338-I1,,,Passenger,C-PH,,Yes,,,,,28.0,,,,,No,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00500935-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00375731-I1,,,Passenger,"B,G,1,2",,No,,,,,4.0,No,,,,Yes,No,0.0,ORION,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00210757-I1,,,Passenger,"B, 1-4",,No,Centrifugal,,,,14.0,,,,,No,Yes,7.0,,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,PE1,1/2
B00197364-I1,,,Passenger,"L,2-6,R",,No,,,,,7.0,Yes,,,,Yes,No,4.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00724655-I1,,,Passenger,"LL, L, 11-21",10.0,No,,,,Serge,13.0,,,,,Yes,No,10.0,Elevonic R,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,D11,
M00333832-I1,,,Passenger,2,,No,,,,,2.0,Yes,,,,Yes,No,1.5,existing,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
X00187687-I1,,,Passenger,7,,No,Centrifugal,,,,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
B00881496-I1,,,Passenger,"L,2,3,4,5",5.0,No,,,,Existing,5.0,,,,,Yes,No,5.0,Existing,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
M00278202-I1,,,Passenger,7,6.0,No,,,,Hollister Whitney,7.0,,,,,Yes,No,6.0,,,,,,Resistance,,8200,,Door,Automatic P.B.,,,,,
X00643851-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00361636-I1,,,Passenger,5,,No,,,,,5.0,,,,,Yes,No,2.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00275844-I1,,,Passenger,7,,No,Centrifugal,,,,7.0,,,,,No,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
B00710408-I1,,,Passenger,"C, B, 1-8, R",3.0,Yes,,,,DELCO,11.0,,,,,Yes,No,3.0,C4,,,,,Solid State,,"12,319 LBS",,Door,Automatic P.B.,,,,PE-2,
B00099854-P2,,,Passenger,38,5.0,Yes,,,,TKE,38.0,,,,,Yes,Yes,5.0,TAC32T,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,PE4,
Q08015133-P1,Yes,,Escalator,,,,,8100.0,,,,,Yes,,2.0,,,,,,,,40.0,,,,,,,,,,Down,
Q00279628-I1,,,Passenger,2,,No,,,,,2.0,Yes,,,,Yes,No,4.0,existing,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00204225-I1,,,Passenger,15,1.0,No,Centrifugal,,,Westinghouse,15.0,,,,,Yes,No,1.0,,,,,,Solid State,,14500,1060.0,Door,Automatic P.B.,,,,,1/2
Q00713545-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00398657-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
M00212815-I1,,,Passenger,L-23-37,,No,,,,,16.0,,,,,Yes,No,8.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00196809-I1,,,Passenger,"C,L,2-12,14-21,PH",,No,Centrifugal,,,,22.0,,,,,Yes,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00725970-I1,,,Passenger,"L, 2, 3-6",,Yes,,,,,6.0,No,,,,Yes,No,4.25,Hydro,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,NHP133821-7Car,
X00243824-I1,,,Passenger,1,0.0,No,,,,,2.0,No,,,,No,No,2.5,,,,,,Multi-Voltage,,,,Door,Automatic P.B.,,,,,
Q00316280-I1,,,Passenger,B-6,6.0,No,,,,,7.0,,,,,No,No,6.0,SIMPLEX,,,,,Multi-Voltage,,,,Door,Automatic P.B.,,,,1,
X00280840-I1,,,Passenger,9,4.0,No,Fly Ball,,,E,9.0,,,,,Yes,No,4.0,E,,,,,Multi-Voltage,,"7,200",,Door,Automatic P.B.,,,,,
M00100111-I1,,,Passenger,10,0.0,No,,,,Otis,10.0,,,,,Yes,No,0.0,Swift Futura,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
Q00994454-I1,,,Passenger,"SC, C, 1-12, 14-17",10.0,No,,,,Otis,18.0,,,,,Yes,No,10.0,VVVF,,,,,Solid State,,5000,,Door,Automatic P.B.,,,,,
X00624868-I1,,,Passenger,1 to 14,8.62,Yes,,,,Otis,14.0,,,,,Yes,No,8.62,GSC,,,,,Solid State,,3600,,Door,Automatic P.B.,,,,N1M286-Elev-B,
Q00393275-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
M00345015-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2''
Q08034742-P2,,,Passenger,"C, 1 to 15, R",8.62,Yes,,,,Otis,17.0,,,,,Yes,No,8.62,GCS,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,N1W953-PE1,
M00362211-I1,,,Passenger,,,,Fly Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2
B00401977-P1,,,Passenger,"1, 5-11",8.69,No,,,,MLB,8.0,,,,,Yes,No,8.69,5500,,,,,Solid State,,21KN,,Door,Automatic P.B.,,,,PE1,
M00957899-I1,,,Passenger,"LL,M,1-14",9.0,No,,,,Westinghouse,16.0,,,,,Yes,No,9.0,Tri-con,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,ELV1,
X00790895-I1,,,Passenger,16,9.0,No,Centrifugal,,,EXISTING,16.0,,,,,Yes,No,9.0,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00121879-I1,,,Passenger,5,,No,,,,,5.0,Yes,,,,No,No,6.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00272287-I1,,,Passenger,8,,No,,,,,8.0,,,,,No,No,8.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q08026002-I1,,,Passenger,5,5.0,No,,,,hw,5.0,,,,,Yes,No,5.0,vvvf,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00021957-I1,,,Passenger,14,,Yes,,,,,14.0,,,,,Yes,No,6.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,A,
B00371716-I1,,,Passenger,"C,1-6",4.0,Yes,,,,Hollister Whitney,7.0,,,,,Yes,No,5.0,SRA-3,,,,,Solid State,,8200#,,Door,Automatic P.B.,,,,1,
M00472540-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00405461-I1,,,Passenger,"B,L,2,4,5,7-11,14-15",11.0,Yes,,,,OLEO,12.0,,,,,Yes,No,11.0,iControl,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,PE56,
M00186632-I1,,,Passenger,"B3,B2,SL,SL,L,2-12,",,No,,,,,36.0,,,,,Yes,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
X00508865-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8
X00196743-I1,,,Passenger,B-6,4.0,No,,,,EXISTING,7.0,,,,,Yes,No,4.0,EXISTING,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,,
X00076827-I1,,,Passenger,5,,No,Centrifugal,,,,5.0,,,,,Yes,No,6.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,Single,3/8
