fwc_unique_individuals_by_2,sa_unique_individuals_by_3,af_race_ethnicity_hoh_black,af_unique_individuals_by,sa_shelter_exits_into_supportive_housing,af_race_ethnicity_hoh_native,sa_avg_daily_census_individual,fwc_percent_of_families,sa_avg_daily_census_individual_2,fwc_race_ethnicity_hoh_unknown
3233,1399,1473,621,130,10,11381,0.5,15785,274
5207,2084,1040,692,107,4,14867,0.63,19868,1015
4939,2046,1050,692,159,6,14796,0.66,19848,1110
3024,1626,1416,614,122,10,12386,0.54,17051,283
3543,957,1378,505,110,9,9107,0.48,12685,159
3191,1445,1451,608,160,7,12045,0.54,16481,265
2734,1627,1287,544,91,9,13013,0.49,17490,259
3074,1458,1473,614,146,10,11813,0.65,16211,262
3228,1457,1460,602,130,8,12040,0.52,16516,255
1973,1683,879,355,115,5,12238,0.61,16252,184
3420,1292,1457,615,120,7,10800,0.52,14895,258
3400,1896,832,663,89,3,16659,0.54,21144,197
3625,1111,1344,476,148,7,8755,0.51,12247,167
4465,2009,902,737,143,6,16233,0.5967,20958,459
2241,1767,1094,467,123,6,13887,0.56,18464,252
2037,1711,869,338,93,5,12363,0.59,16469,176
3371,1052,1477,551,136,8,9315,0.46,13060,190
3429,1080,1366,511,130,8,9450,0.53,13067,172
2383,1804,1095,485,84,6,13944,0.53,18501,249
3262,1332,1415,634,152,5,11158,0.5,15326,252
2849,1780,830,575,139,3,15553,0.57,19962,161
3143,1444,1424,626,170,8,12052,0.53,16477,267
3228,1334,1410,630,136,8,11112,0.49,15315,252
3074,1554,1430,616,106,9,12137,0.57,16722,262
3035,1435,1437,633,173,7,11968,0.55,16317,261
3420,1217,1492,604,119,6,10419,0.52,14485,238
5281,2160,1041,702,107,4,15384,0.64,20556,976
4790,2077,963,689,153,8,15222,0.62,20090,1121
2309,1707,770,379,135,1,12291,0.59,16374,152
