:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,complaint_type,school_address,y_coordinate_state_plane_,taxi_company_borough,facility_type,closed_date,due_date,taxi_pick_up_location,agency_name,school_or_citywide_complaint,ferry_terminal_name,latitude,ferry_direction
,,HEATING,Unspecified,,,,2008-01-07T00:00:00.000,,,Department of Housing Preservation and Development,,,,
,,Street Light Condition,Unspecified,,,,2007-12-31T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-04T00:00:00.000,2008-01-11T00:00:00.000,,Department of Consumer Affairs,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Environmental Protection,,,,
,,Dirty Conditions,Unspecified,,,,2008-03-21T00:00:00.000,,,A - Queens,,,,
,,Street Light Condition,Unspecified,,,,2007-10-11T00:00:00.000,,,Department of Transportation,,,,
,,Sewer,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Environmental Protection,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-10T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-07T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-12-09T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-05T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-12-24T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Sewer,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Environmental Protection,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-07T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-10T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-31T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-10T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2008-02-28T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Taxi Compliment,Unspecified,,,,2008-01-14T00:00:00.000,,,Correspondence - Taxi and Limousine Commission,,,,
,,PLUMBING,Unspecified,,,,2008-01-06T00:00:00.000,,,Department of Housing Preservation and Development,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-21T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Sanitation Condition,Unspecified,,,DSNY Garage,2008-01-01T00:00:00.000,,,BCC - Staten Island,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Sewer,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Environmental Protection,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,HEATING,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Housing Preservation and Development,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-02T00:00:00.000,2008-01-09T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-07T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Environmental Protection,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-02-06T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-10T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-11-18T00:00:00.000,,,Department of Transportation,,,,
,,Vacant Lot,Unspecified,,,,2008-01-30T00:00:00.000,,,Lot Cleaning,,,,
,,Water System,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Environmental Protection,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-29T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-12T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-05T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Maintenance or Facility,"Riverside Drive to Hudson River, West 59th Street to Clair Place",,,,2008-01-02T00:00:00.000,2008-01-04T00:00:00.000,,Department of Parks and Recreation,,,,
,,General Construction/Plumbing,Unspecified,,,,2008-04-25T00:00:00.000,,,Department of Buildings,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-07-18T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-21T00:00:00.000,,,Department of Transportation,,,,
,,Maintenance or Facility,"Dyckman Street, Hudson River, Harlem River Ship Canal",,,,2008-01-01T00:00:00.000,2008-01-04T00:00:00.000,,Department of Parks and Recreation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-08T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-11T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-26T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Dirty Conditions,Unspecified,,,,2008-03-21T00:00:00.000,,,A - Bronx,,,,
,,Noise,Unspecified,,,,2008-03-21T00:00:00.000,,,Department of Environmental Protection,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Maintenance or Facility,"Little Neck Bay to Spring Boulevard, Union Turnpike",,,,2008-01-01T00:00:00.000,2008-01-04T00:00:00.000,,Department of Parks and Recreation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-10T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-27T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-10T00:00:00.000,,Department of Consumer Affairs,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-02T00:00:00.000,2008-01-09T00:00:00.000,,Department of Consumer Affairs,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-03-19T00:00:00.000,,,Department of Transportation,,,,
,,Sewer,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Environmental Protection,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-08T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-13T00:00:00.000,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-10T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Environmental Protection,,,,
,,Maintenance or Facility,"Riverside Drive to Hudson River, West 59th Street to Clair Place",,,,2008-01-02T00:00:00.000,2008-01-05T00:00:00.000,,Department of Parks and Recreation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-16T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-09-18T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-02-12T00:00:00.000,,,Department of Transportation,,,,
,,Sanitation Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Queens East 10,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Wear & Tear,Unspecified,,,,,,,Department of Transportation,,,,
,,Snow,Unspecified,,,DSNY Garage,2008-01-02T00:00:00.000,,,BCC - Queens East,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-08T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-02T00:00:00.000,2008-01-09T00:00:00.000,,Department of Consumer Affairs,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-04T00:00:00.000,2008-01-11T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-11-05T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-10T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-11-05T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-21T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Maintenance or Facility,"18th to 19th Avenues, 56th to 58th Streets",,,,2008-01-08T00:00:00.000,2008-01-15T00:00:00.000,,Department of Parks and Recreation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Industrial Waste,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Environmental Protection,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-04T00:00:00.000,2008-01-11T00:00:00.000,,Department of Consumer Affairs,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-11T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-05T00:00:00.000,,,Department of Transportation,,,,
,,Discipline and Suspension,Unspecified,,,,2008-01-31T00:00:00.000,2008-02-02T00:00:00.000,,Central - Department of Education,Citywide Complaint,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-22T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Environmental Protection,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
39.0,17621.0,Traffic Signal Condition,Unspecified,171154.0,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,40.636454776697,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-09T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Environmental Protection,,,,
,,Taxi Compliment,Unspecified,,,,2008-01-14T00:00:00.000,,,Correspondence - Taxi and Limousine Commission,,,,
,,DCA / DOH New License Application Request,Unspecified,,,,2008-01-03T00:00:00.000,2008-01-10T00:00:00.000,,Department of Consumer Affairs,,,,
,,Street Light Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-04T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-20T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-11T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-05T00:00:00.000,,,Department of Transportation,,,,
,,For Hire Vehicle Complaint,Unspecified,,MANHATTAN,,2008-02-26T00:00:00.000,2008-03-17T00:00:00.000,,Taxi and Limousine Commission,,,,
,,Street Light Condition,Unspecified,,,,2007-12-29T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-11-05T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-03-21T00:00:00.000,,,Department of Transportation,,,,
,,Water System,Unspecified,,,,2008-01-08T00:00:00.000,,,Department of Environmental Protection,,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-10-10T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-05-28T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2008-01-03T00:00:00.000,,,Department of Transportation,,,,
,,DOE Complaint or Compliment,Unspecified,,,,2008-07-02T00:00:00.000,2008-01-07T00:00:00.000,,Central - Department of Education,Citywide Complaint,,,
,,Street Light Condition,Unspecified,,,,2008-01-01T00:00:00.000,,,Department of Transportation,,,,
,,Street Light Condition,Unspecified,,,,2007-11-13T00:00:00.000,,,Department of Transportation,,,,
,,Traffic Signal Condition,Unspecified,,,,2008-01-02T00:00:00.000,,,Department of Transportation,,,,
,,Maintenance or Facility,"Riverside Drive to Hudson River, West 59th Street to Clair Place",,,,2008-01-01T00:00:00.000,2008-01-04T00:00:00.000,,Department of Parks and Recreation,,,,
