location,school_code,bridge_highway_direction,status,intersection_street_2,cross_street_2,intersection_street_1,school_zip,bridge_highway_name,school_number
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Pending,,,,Unspecified,,Unspecified
,Unspecified,,Closed,,FLATBUSH AVE,,Unspecified,,Unspecified
,Unspecified,,Closed,TREMONT AVE WEST,,177 ST W,Unspecified,,Unspecified
,Unspecified,,Closed,138 ST E,,ALEXANDER AVE,Unspecified,,Unspecified
,Unspecified,,Closed,8 ST W,,KINGS HWY,Unspecified,,Unspecified
,Unspecified,,Pending,,HARLEM RIVER,,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,140 ST E,,WILLIS AVE,Unspecified,,Unspecified
,Unspecified,,Pending,GREENLEAF AVE S,,CROWELL AVE,Unspecified,,Unspecified
,Unspecified,,Closed,,13 AVE,,Unspecified,,Unspecified
,Unspecified,,Closed,,198 STREET,,Unspecified,,Unspecified
,Unspecified,,Pending,ALEXANDER AVE,,134 ST E,Unspecified,,Unspecified
,Unspecified,,Closed,RATHBUN AVE,,ARTHUR AVE,Unspecified,,Unspecified
,Unspecified,,Pending,,HARLEM RIVER,,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,,AVE C,,Unspecified,,Unspecified
,Unspecified,,Closed,15 ST E,,AVE Z,Unspecified,,Unspecified
,Unspecified,,Pending,64 ST W,,COLUMBUS AVE,Unspecified,,Unspecified
,Unspecified,,Closed,74 ST W,,AMSTERDAM AVE,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,HEWES ST,,BROADWAY,Unspecified,,Unspecified
,Unspecified,,Closed,,MT LORETTO SR,,Unspecified,,Unspecified
,Unspecified,,Closed,HAVEMEYER ST E,,METROPOLITAN AVE,Unspecified,,Unspecified
,Unspecified,,Closed,192 ST W,,ST NICHOLAS AVE,Unspecified,,Unspecified
,Unspecified,,Closed,POMPEY AVE,,ADLAI CIRCLE,Unspecified,,Unspecified
,Unspecified,,Pending,PARK AVE,,149 ST E,Unspecified,,Unspecified
,Unspecified,,Closed,51 ST E,,LENOX RD,Unspecified,,Unspecified
,Unspecified,,Pending,184 ST W,,JEROME AVE,Unspecified,,Unspecified
,Unspecified,,Closed,42 ST W,,9 AVE,Unspecified,,Unspecified
,Unspecified,,Closed,UTOPIA PKWY,,26 AVE,Unspecified,,Unspecified
,Unspecified,,Closed,HOYT AVE,,21 ST,Unspecified,,Unspecified
,Unspecified,,Closed,150 ST W,,AMSTERDAM AVE,Unspecified,,Unspecified
,Unspecified,,Pending,,SEE COMMENTS FOR CROSS ST,,Unspecified,,Unspecified
,Unspecified,,Pending,,,,Unspecified,,Unspecified
,Unspecified,,Closed,BROADWAY,,113 ST W,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,112 AVE,,SPRINGFIELD BLVD,Unspecified,,Unspecified
,Unspecified,,Closed,230 ST W,,BROADWAY,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,78 ST E,,LEXINGTON AVE,Unspecified,,Unspecified
,Unspecified,,Pending,VAN DAM ST,,QUEENS BLVD,Unspecified,,Unspecified
,Unspecified,,Pending,59 ST E,,MADISON AVE,Unspecified,,Unspecified
,Unspecified,,Closed,,ADAMS AVENUE,,Unspecified,,Unspecified
,Unspecified,,Closed,POST 3,,CENTRAL PARK,Unspecified,,Unspecified
,Unspecified,,Closed,141 ST E,,BRUCKNER BLVD,Unspecified,,Unspecified
,Unspecified,,Closed,CHURCH AVE,,94 ST E,Unspecified,,Unspecified
,Unspecified,,Closed,OVERLOOK TERRACE,,184 ST W,Unspecified,,Unspecified
,Unspecified,,Closed,,,,Unspecified,,Unspecified
,Unspecified,,Closed,YORK AVE,,87 ST E,Unspecified,,Unspecified
