address,:@computed_region_yeji_bk3q,corner,boro,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer
29-01 BROADWAY,3,NE,Queens,4,39
37-01 31 AVENUE,3,NE,Queens,4,39
565 WEST 174 STREET,4,NE,Manhattan,39,47
39-27 31 STREET,3,SE,Queens,33,39
164 EAST 37 STREET,4,SW,Manhattan,51,71
161-21 JAMAICA AVENUE,3,NW,Queens,24,41
204-01 JAMAICA AVENUE,3,,Queens,16,41
1970 VICTORY BOULEVARD,1,MIDBLOCK,Staten Island,14,4
43-02 30 AVENUE,3,SE,Queens,4,39
21 EAST 66 STREET,4,NW,Manhattan,51,23
574 COLUMBUS AVENUE,4,SW,Manhattan,19,20
19 SEAVIEW AVENUE,1,NE,Staten Island,14,30
251 WEST 105 STREET,4,NW,Manhattan,19,20
1031 3 AVENUE,4,NE,Manhattan,51,23
2298 BROADWAY,4,SE,Manhattan,19,20
87-89 PARSONS BOULEVARD,3,NE,Queens,24,41
580 WEST 156 STREET,4,SE,Manhattan,23,47
85-10 NORTHERN BOULEVARD,3,SW,Queens,5,65
100-26 QUEENS BOULEVARD,3,SW,Queens,28,40
74-04 ROOSEVELT AVENUE,3,SE,Queens,5,66
1644 3 AVENUE,4,NW,Manhattan,1,23
87-15 ROOSEVELT AVENUE,3,MIDBLOCK,Queens,21,65
40-13 BROADWAY,3,MIDBLOCK,Queens,4,39
133 EAST 124 STREET,4,NW,Manhattan,35,7
3 EDWARD MORGAN PLACE,4,SE,Manhattan,23,47
80-55 KEW GARDENS ROAD,3,NE,Queens,28,46
69-02 QUEENS BOULEVARD,3,MIDBLOCK,Queens,34,53
1398 ST. NICHOLAS AVENUE,4,SE,Manhattan,39,47
80 WEST 86 STREET,4,SE,Manhattan,19,20
94-03 63 DRIVE,3,NW,Queens,28,40
101-10 QUEENS BOULEVARD,3,SE,Queens,28,40
200 EAST 71 STREET,4,SE,Manhattan,51,23
73-02 ROOSEVELT AVENUE,3,SE,Queens,5,66
150-05 LIBERTY AVENUE,3,NE,Queens,6,41
399 EAST 72 STREET,4,NE,Manhattan,1,23
351 EAST 60 STREET,4,NW,Manhattan,1,23
30 EAST 76 STREET,4,SE,Manhattan,51,23
215 WEST 75 STREET,4,NE,Manhattan,19,20
51-04 VERNON BOULEVARD,3,SW,Queens,33,53
3359 BROADWAY,4,SW,Manhattan,23,37
34-02 BROADWAY,3,SE,Queens,4,39
198-01 HOLLIS AVENUE,3,,Queens,6,41
1330 3 AVENUE,4,NW,Manhattan,51,23
197 AMSTERDAM AVENUE,4,SE,Manhattan,19,20
400 EAST 73 STREET,4,SE,Manhattan,1,23
101-21 JAMAICA AVENUE,3,NW,Queens,41,46
