dfta_id,address1,friday,in_house_meal_prep,total_fy20_budget,city,contract_amt,bbl,actual_ytd_meals,to_date,total_fy20_reimbursement,kosher_budget,latitude,sunday,meal_prep1
23B01,5701 AVENUE H,08:00 AM - 04:00PM,Meal Prep on-site,551401.71,BROOKLYN,551401.71,3079780001.0,33747.0,2020-06-30T00:00:00.000,284289.67,0.0,40.633288,00:00 AM - 00:00PM,Meal Prep on-site
10A01,188 LINCOLN AVENUE,08:00 AM - 04:00PM,Catered,211937.14,BRONX,211937.14,2023110001.0,15000.0,2020-06-30T00:00:00.000,169189.2,0.0,40.809874,00:00 AM - 00:00PM,Catered
22M01,19 ROGERS AVENUE,09:00 AM - 05:00PM,Meal Prep on-site,495234.86,BROOKLYN,495234.86,3012120006.0,15751.0,2020-06-30T00:00:00.000,374286.0,0.0,40.676909,00:00 AM - 00:00PM,Meal Prep on-site
44Y01,123-10 143 STREET,08:00 AM - 04:00PM,-,526195.2,QUEENS,526195.2,4120390044.0,17084.0,2020-06-30T00:00:00.000,323207.3,0.0,40.674522,00:00 AM - 00:00PM,
35001,30 DELANCEY STREET,08:00 AM - 03:00PM,Catered,838340.57,MANHATTAN,838340.57,1004200001.0,31560.0,2020-06-30T00:00:00.000,348021.62,0.0,40.719792,00:00 AM - 00:00PM,Catered
1A602,1145 UNIVERSITY AVENUE,08:00 AM - 04:00PM,-,215689.71,BRONX,215689.71,2025270032.0,4183.0,2020-06-30T00:00:00.000,176786.19,0.0,40.837077,00:00 AM - 00:00PM,
20A02,6222 23RD AVENUE,09:00 AM - 04:00PM,Meal Prep on-site,632698.0,BROOKLYN,632698.0,3065510045.0,,2020-06-30T00:00:00.000,427812.12,0.0,40.61405,00:00 AM - 00:00PM,Meal Prep on-site
57401,1466 MANOR ROAD,09:00 AM - 05:00 PM,-,,STATEN ISLAND,1191748.85,5009550100.0,35130.0,2020-06-30T00:00:00.000,,0.0,40.594454,00:00 AM - 00:00PM,
24L01,80 SEIGEL STREET,09:00 AM - 05:00PM,-,618202.29,BROOKLYN,618202.29,3030960030.0,64757.0,2020-06-30T00:00:00.000,502376.86,0.0,40.704366,00:00 AM - 00:00PM,Meal Prep on-site
41001,27-16 HEALY AVENUE,09:00 AM - 01:00PM,Catered,391368.0,QUEENS,391368.0,4157220041.0,15001.0,2020-06-30T00:00:00.000,310113.99,174582.99,40.604149,00:00 AM - 00:00PM,Catered
28L01,3001 WEST   37 STREET,08:30 AM - 04:00 PM,Meal Prep on-site,,BROOKLYN,626000.0,3070650001.0,95250.0,2020-06-30T00:00:00.000,,0.0,40.573177,00:00 AM - 00:00PM,Meal Prep on-site
32T01,18 MOUNT MORRIS PARK WEST,08:00 AM - 04:00PM,Catered,353158.29,MANHATTAN,353158.29,1017190001.0,15000.0,2020-06-30T00:00:00.000,320768.83,0.0,40.804822,00:00 AM - 00:00PM,Catered
50701,1297 ARTHUR KILL ROAD,09:00 AM - 05:00PM,-,537845.14,STATEN ISLAND,537845.14,5059000105.0,19001.0,2020-06-30T00:00:00.000,537845.13,0.0,40.565262,00:00 AM - 00:00PM,Catered
32701,1301 AMSTERDAM AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,448102.29,MANHATTAN,448102.29,1019640001.0,27000.0,2020-06-30T00:00:00.000,337085.38,0.0,40.811994,00:00 AM - 00:00PM,Meal Prep on-site
20202,1440 EAST NEW YORK AVENUE,09:00 AM - 05:00PM,Catered,279221.14,BROOKLYN,279221.14,3034960013.0,10001.0,2020-06-30T00:00:00.000,148476.0,0.0,40.670654,00:00 AM - 00:00PM,Catered
54101,6581 HYLAN BLVD,08:00 AM - 04:00PM,-,487097.14,STATEN ISLAND,487097.14,5076640001.0,26751.0,2020-06-30T00:00:00.000,400703.73,0.0,40.509084,00:00 AM - 00:00PM,Meal Prep on-site
10M02,975 WARING AVENUE,09:00 AM - 05:00PM,Catered,301433.64,BRONX,301433.64,2044440001.0,10001.0,2020-06-30T00:00:00.000,258915.43,0.0,40.861214,00:00 AM - 00:00PM,Catered
41Q01,50 - 37 NEWTOWN ROAD,07:45 AM - 03:45PM,Meal Prep on-site,630757.71,QUEENS,630757.71,,55816.0,2020-06-30T00:00:00.000,547941.1,0.0,40.754484,00:00 AM - 00:00PM,Meal Prep on-site
31801,2029 SECOND AVENUE,09:00 AM - 05:00PM,-,424357.71,MANHATTAN,424357.71,1016540011.0,16500.0,2020-06-30T00:00:00.000,378975.79,0.0,40.789473,00:00 AM - 00:00PM,Catered
20A01,485 KINGS HIGHWAY,08:00 AM - 04:00PM,Meal Prep on-site,857118.0,BROOKLYN,857118.0,3066580048.0,,2020-06-30T00:00:00.000,658625.08,0.0,40.604258,00:00 AM - 00:00PM,Meal Prep on-site
10I01,950 UNION AVENUE,08:00 AM - 04:00PM,Meal Prep on-site,571548.0,BRONX,571548.0,2026780001.0,33501.0,2020-06-30T00:00:00.000,439906.59,0.0,40.822812,00:00 AM - 00:00PM,Meal Prep on-site
21U01,562-574 MADISON STREET,09:00 AM - 05:00PM,Catered,571839.43,BROOKLYN,571839.43,3016450001.0,16250.0,2020-06-30T00:00:00.000,410994.82,0.0,40.686471,00:00 AM - 00:00PM,Catered
