dfta_id,provider_name,average_daily_participant,tuesday,from_date,nta,comminuty_board,census_tract,longitude,total_meals_budget,expenditures_for_information_and_assistance_education_and_recreation_health_promotion,wednesday,sponsor_name,full_time,saturday
41201,HANAC ANGELO PETROMELIS NEIGHBORHOOD S,,08:00 AM - 03:30PM,2019-12-01T00:00:00.000,College Point,407,947.0,-73.844772,262353.93,109020.69,08:00 AM - 03:30PM,"HANAC, INC.",8.0,00:00 AM - 00:00PM
26301,BORO PARK NEIGHBORHOOD SENIOR CENTER,,09:00 AM - 04:00PM,2019-12-01T00:00:00.000,Borough Park,312,216.0,-74.000703,349527.86,232665.45,09:00 AM - 04:00PM,"AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES, INC.",5.0,00:00 AM - 00:00PM
21J02,LANGSTON HUGHES SOCIAL CLUB,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Brownsville,316,906.0,-73.909072,0.0,105624.23,09:00 AM - 05:00PM,"WAYSIDE OUT-REACH DEVELOPMENT, INC.",,00:00 AM - 00:00PM
32N01,JOHN PAUL II FRIENDSHIP NEIGHBORHOOD SC,62.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,East Village,103,32.0,-73.985016,215630.28,169695.47,08:00 AM - 04:00PM,"POLISH AND SLAVIC CENTER, INC",7.0,00:00 AM - 00:00PM
11M01,RAIN BOSTON EAST NEIGHBORHOOD SENIOR CT,68.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Eastchester-Edenwald-Baychester,212,364.0,-73.848594,348477.3,185590.34,08:00 AM - 04:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",8.0,00:00 AM - 00:00PM
35B02,AP RANDOLPH SENIOR CENTER,63.0,09:00 AM - 05:00PM,2019-07-01T00:00:00.000,Central Harlem North-Polo Grounds,110,232.0,-73.936317,302884.01,202132.81,09:00 AM - 05:00PM,"ARC XVI, FT. WASHINGTON, INC.",4.0,00:00 AM - 00:00PM
33W01,RAIN INWOOD NEIGHBORHOOD SENIOR CENTER,90.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Marble Hill-Inwood,112,291.0,-73.923128,242862.71,206945.57,08:00 AM - 04:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",8.0,00:00 AM - 00:00PM
43S01,RAICES ASTORIA NEIGHBORHOOD SENIOR CTR,33.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Old Astoria,401,87.0,-73.933467,205329.59,148605.43,08:00 AM - 04:00PM,"SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.",0.0,00:00 AM - 00:00PM
32801,CANAAN NEIGHBORHOOD SENIOR CENTER,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Central Harlem South,111,190.0,-73.946121,151185.76,258003.67,09:00 AM - 05:00PM,CANAAN BAPTIST CHURCH,7.0,00:00 AM - 00:00PM
21H03,BROWNSVILLE SOCIAL CLUB,,09:00 AM - 05:00PM,2019-12-01T00:00:00.000,Brownsville,316,912.0,-73.905923,0.0,130338.1,09:00 AM - 05:00PM,"WAYSIDE OUT-REACH DEVELOPMENT, INC.",0.0,00:00 AM - 00:00PM
10M01,BAY EDEN NEIGHBORHOOD SENIOR CENTER,99.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Eastchester-Edenwald-Baychester,212,460.0,-73.842204,436224.71,235352.33,08:00 AM - 04:00PM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,14.0,00:00 AM - 00:00PM
22502,MILL BASIN NEIGHBORHOOD SENIOR CENTER,,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Georgetown-Marine Park-Bergen Beach-Mill Basin,318,69602.0,-73.910226,157613.75,111748.1,08:00 AM - 04:00PM,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION D/B/A MILLENNIUM DEVELOPMENT,1.0,00:00 AM - 00:00PM
12H03,BAILEY SENIOR CENTER,22.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Kingsbridge Heights,208,269.0,-73.906859,32549.86,21648.79,08:00 AM - 04:00PM,"REGIONAL AID FOR INTERIM NEEDS, INC.",0.0,00:00 AM - 00:00PM
32B01,UNIVERSITY SETTLEMENT NSC,137.0,08:00 AM - 04:00PM,2019-12-01T00:00:00.000,Chinatown,103,3601.0,-73.988964,245115.61,260022.06,08:00 AM - 04:00PM,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,2.0,09:00 AM - 01:00PM
53601,ANDERSON NEIGHBORHOOD SENIOR CENTER,,07:00 AM - 03:00PM,2019-12-01T00:00:00.000,Port Richmond,501,213.0,-74.134422,262120.78,167878.12,07:00 AM - 03:00PM,"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",9.0,00:00 AM - 00:00PM
