principal,qr_1_3,rr_t,ethnicity_asian_pct_boro,gender_male_pct,ethnicity_white_pct_boro,teach_3_more_exp,teacher_ethnicity_black_pct,ethnicity_hispanic_pct_boro,teacher_attendance,survey_pp_sf,school_type,dates_of_review,ethnicity_amerindian_pct_1,qr_1_4,val_move_to_lre_pct_all
No Data,No Data,97%,0.046,0.871,0.042,No Data,No Data,0.624,0.95,0.99,D75,No Data,0.01,No Data,0.0
JOHN SIRACUSE,Well Developed,54%,0.046,0.802,0.042,0.775,0.118,0.624,0.969,0.96,D75,2020-01-01T00:00:00.000,0.01,Well Developed,0.198
James Thorbs,Proficient,28%,0.278,0.791,0.123,0.854,0.185,0.387,0.963,0.92,D75,2018-03-01T00:00:00.000,0.02,Well Developed,0.138
ANNETTE BEALE,Well Developed,93%,0.278,0.76,0.123,0.662,0.059,0.387,0.967,0.94,D75,2019-01-01T00:00:00.000,0.02,Proficient,0.153
JOAN ANTONELLI,Proficient,63%,0.164,0.684,0.174,0.891,0.174,0.286,0.972,0.96,D75,2017-05-01T00:00:00.000,0.008,Proficient,0.048
DEBORAH EVANS,Well Developed,26%,0.164,0.778,0.174,0.908,0.367,0.286,0.968,0.96,D75,2017-12-01T00:00:00.000,0.008,Well Developed,0.14
Gregg Soulette,Well Developed,82%,0.116,0.733,0.171,0.748,0.123,0.444,0.971,0.95,D75,2018-01-01T00:00:00.000,0.007,Well Developed,0.11
GREER PHILLIPS,Well Developed,0%,0.116,0.668,0.171,0.621,0.345,0.444,0.977,0.91,D75,2017-11-01T00:00:00.000,0.007,Well Developed,0.024
AVA KAPLAN,Proficient,14%,0.046,0.719,0.042,0.71,0.245,0.624,0.963,0.9,D75,2019-02-01T00:00:00.000,0.01,Proficient,0.08
ELEYNA RIVAS,Well Developed,9%,0.116,0.795,0.171,0.843,0.084,0.444,0.978,0.9,D75,2019-05-01T00:00:00.000,0.007,Well Developed,0.16
Denise Danna,No Data,51%,0.164,0.728,0.174,0.774,0.25,0.286,0.966,0.94,D75,2016-02-03T00:00:00.000,0.008,No Data,0.123
YVROSE PIERRE,Well Developed,73%,0.164,0.719,0.174,0.69,0.448,0.286,0.98,0.93,D75,2017-12-01T00:00:00.000,0.008,Well Developed,0.091
No Data,No Data,25%,0.278,0.549,0.123,0.841,0.349,0.387,0.969,0.92,D75,No Data,0.02,No Data,0.094
Ebony Russell,Well Developed,29%,0.164,0.824,0.174,0.733,0.349,0.286,0.967,0.91,D75,2018-05-01T00:00:00.000,0.008,Well Developed,0.121
Janine Tubiolo,Well Developed,6%,0.046,0.801,0.042,0.604,0.121,0.624,0.974,1,D75,2017-12-01T00:00:00.000,0.01,Proficient,0.321
