r_blockfaceid,post_modifier,status,borough_indicator,b5sc,post_directional,seglocstatus,r_low_hn,r_high_hn,rsubsect
52262165.0,,2,,460810,,X,103-000,103-098,2C
,,2,,500254,,,,,
1622608656.0,,2,,522550,,,,,2C
1922608355.0,,2,,441290,,,700,750,3C
,,2,,500203,,H,,,
2022600269.0,,2,,356230,,,,,1B
,,2,,101179,,,,,
1822609252.0,,2,,314280,,,2400,2498,3C
1722610779.0,,2,,526010,,,371,449,2D
22262443.0,,2,,314630,,,6400,6498,4E
1622603939.0,,2,,522590,,,105,149,3D
1622611241.0,,2,,539240,,,,,3D
2022605715.0,,2,,386630,,X,90,112,3A
1822603801.0,,2,,314780,,X,26,26,1D
1822607339.0,,2,,390980,,,1800,1898,6C
2022609302.0,,2,,356630,,X,218,240,1A
1722603339.0,,2,,534990,,,251,263,3C
,,2,,389730,,X,,,3A
1422601663.0,,2,,245820,,,600,698,4C
1922600603.0,,2,,372630,W,,,,
92270685.0,,2,,413170,,H,,,1E
82263144.0,,2,,416640,,,264-000,264-098,1C
1422601643.0,,2,,273220,,,0,0,3D
82262590.0,,2,,417040,,,147-000,149-098,3E
2022600010.0,,2,,334760,,,902,912,3D
,,2,,200106,,,,,
112264593.0,,2,,410730,,H,228-026,228-098,6E
1222600984.0,,2,,118250,,X,136,198,1A
1322607473.0,,2,,110610,,,0,0,4A
82261445.0,,2,,447390,,,,,2D
82268138.0,,2,,425140,,,69-000,72-098,1E
1322607936.0,,2,,110110,,,2460,2478,3B
92269803.0,,2,,468090,,,0,0,2E
112269088.0,,2,,422890,,,14-000,14-098,6D
2022609420.0,,2,,383730,,X,1508,1510,3C
,,2,,314910,,,,,
1222606888.0,,2,,116310,,,55,69,1A
1722600695.0,,2,,535070,,,531,549,4C
1922610018.0,,2,,323230,,X,744,744,5B
1722608273.0,,2,,516100,,X,510,534,5E
1722610961.0,,2,,526075,,,30,42,5C
92262521.0,,2,,412990,,X,93-000,93-098,2D
1922613862.0,,2,,376130,,,64,70,5B
1922605741.0,,2,,369330,,,2,78,3D
1422606014.0,,2,,269720,,,832,870,2B
1422606487.0,,2,,201419,,H,,,
92266545.0,,2,,460035,,,102-000,102-098,3D
,,2,,213770,,,,,
1922609863.0,,2,,313430,,,0,0,3A
102267257.0,,2,,418240,,X,30-000,30-098,1D
1322601495.0,,2,,137710,,X,541,567,4B
1922611510.0,,2,,350530,,,2,46,4B
1422605452.0,,2,,249460,,,,,1A
1622602383.0,,2,,516380,,,496,516,4D
42261103.0,,2,,423990,,,81-000,81-098,4C
212260038.0,,2,,110545,,,,,
1622610502.0,,2,,500173,,H,,,1D
1222602274.0,,2,,101468,,,,,2A
112262755.0,,2,,465690,,,28-034,28-098,7D
,,2,,229520,,X,,,3B
1722611138.0,,2,,539200,,,570,588,2E
32260457.0,,2,,451647,,,,,
82268442.0,,2,,416810,,,252-000,253-098,1D
102266665.0,,2,,428790,,,0,0,1D
1822602103.0,,2,,373030,,,1700,1798,2C
1322608416.0,,2,,113405,,,,,
1422603340.0,,2,,241720,,,0,0,
1722603898.0,,2,,555580,,,447,515,3C
1322606638.0,,2,,135290,,,101,199,2A
112264247.0,,2,,407240,,,150-000,150-098,7E
1622604109.0,,2,,528400,,,321,323,1C
12261828.0,,2,,432190,,,300,312,2E
1922608514.0,,2,,367030,,X,1208,1230,3A
82267395.0,,2,,410790,,,207-000,207-098,3E
112261760.0,,2,,439190,,,20-028,20-098,6E
,,2,,412990,,,,,2D
1622601318.0,,2,,537082,,,,,4C
82263361.0,,2,,400678,,,,,
1322608356.0,,2,,113910,,,13,63,2B
1422603800.0,,2,,215925,,,,,4C
92262816.0,,2,,444290,,,67-076,67-106,2E
72262380.0,,2,,426890,,,94-000,94-026,2E
102267588.0,,2,,412740,,,53-002,53-034,5E
32260821.0,,2,,497520,,,,,
1922604535.0,,2,,307030,,,600,622,1D
1722612941.0,,2,,545955,,,101,121,3D
12263697.0,,2,,461690,,,0,0,2E
1722601830.0,,2,,521386,,,0,0,4C
1722604407.0,,2,,519350,,,143,149,2E
82268539.0,,2,,410290,,,157-000,157-098,4D
1622601197.0,,2,,536320,,I,259,299,3E
92265862.0,,2,,459990,,,,,1E
212261867.0,,2,,397210,,,,,1B
112269189.0,,2,,424240,,,14-000,14-052,8C
92264636.0,,2,,412790,,X,81-000,81-098,5C
1222602801.0,,2,,134290,,X,301,399,2A
212262320.0,,2,,374930,,,,,1B
1522604090.0,,2,,241720,,,,,
82264754.0,,2,,423040,,,58-022,58-098,2D
1622603535.0,,2,,545050,,,3335,3363,4C
1322604692.0,,2,,197720,,,,,
1622601318.0,,2,,537082,,,0,0,4C
1722600903.0,,2,,542110,,,,,6D
102267888.0,,2,,410790,,,11-022,11-028,3B
1522613115.0,,2,,273720,,,,,1B
1622601951.0,,2,,541320,,,274,300,3D
12261217.0,,2,,434140,,,100,200,1E
1522607436.0,,2,,218340,,,,,
12261153.0,,2,,456990,,,148-000,148-098,1C
1722607648.0,,2,,536270,,,123,141,2E
1522602795.0,,2,,228320,,X,1200,1298,3E
2022613182.0,,2,,331730,,,,,4C
92266411.0,,2,,414840,,,49-000,49-098,1E
1322606590.0,,2,,136170,,,327,399,1A
1422606346.0,,2,,260520,,X,3050,3098,2D
92262567.0,,2,,461730,,,74-000,74-098,2C
102266713.0,,2,,412940,,,0,0,1C
62263474.0,,2,,420240,,,110-000,110-098,2C
1822606809.0,,2,,335030,,,1392,1486,6D
,,2,,420090,,X,,,3C
52262392.0,,2,,420190,,,84-000,84-098,3D
92267369.0,,2,,429013,,,,,
42260364.0,,2,,419740,,,164-034,164-036,4E
22262705.0,,2,,319640,,,50,72,4D
1222601943.0,,2,,125645,,,0,482,
1722602190.0,,2,,570274,,I,30,56,7C
112265745.0,,2,,423790,,X,42-000,42-098,4D
92269761.0,,2,,459990,,,,,2D
1822600935.0,,2,,388830,,,2000,2098,3D
1622605602.0,,2,,516900,,,173,189,4C
1922610146.0,,2,,309330,,,500,598,4D
1922604923.0,,2,,308630,,,1100,1198,3D
,,2,,457790,,,,,
,,2,,400393,,,,,
1722608332.0,,2,,555290,,,1,33,1E
72260767.0,,2,,412080,,,,,
1822600714.0,,2,,314280,,X,900,998,6E
1422604259.0,,2,,273420,,,1620,1638,1A
12262360.0,,2,,435290,,,85-000,85-098,2C
112261431.0,,2,,426860,,,43-000,44-098,2E
1922609512.0,,2,,360530,,X,590,638,5A
1622605441.0,,2,,533230,,,2,32,3D
92265077.0,,2,,408790,,,76-000,76-098,2C
1822606525.0,,2,,331330,,,614,634,4E
72267934.0,,2,,421290,,,237-000,237-098,5C
112267042.0,,2,,407340,,X,212-000,212-098,2D
1622608314.0,,2,,524200,,,2,44,1C
42260480.0,,2,,419540,,,160-000,160-010,4E
1322606617.0,,2,,124890,,,1871,1877,2A
1522607486.0,,2,,200488,,,,,
102261656.0,,2,,414440,,,0,0,1E
1722605482.0,,2,,519680,,,375,407,7E
1322606075.0,,2,,115910,,X,83,115,2B
1722609673.0,,2,,526463,W,X,990,1008,5D
22260402.0,,2,,314910,,,,,
,,2,,100726,,,,,
42261276.0,,2,,421690,,,133-000,134-098,3C
52262082.0,,2,,420140,,,95-000,95-098,1E
1222603095.0,,2,,127790,,,0,0,2B
1622601993.0,,2,,510470,,,,,4D
1922612801.0,,2,,333730,,X,2,60,2D
1522611923.0,,2,,270720,,X,2820,2848,2A
2022601516.0,,2,,339930,,X,310,332,2D
1722601372.0,,2,,544666,,,36,70,6C
,,2,,297770,,,,,
1622603612.0,,2,,548410,,,50,78,3E
2022611229.0,,2,,354050,,X,0,0,1B
,,2,,427070,,,,,5C
1822602425.0,,2,,310280,,,2000,2098,2E
,,2,,410015,,,,,
,,2,,200106,,,,,
92261365.0,,2,,442995,S,,,,
,,2,,449690,,X,,,2D
1922600729.0,,2,,301207,,H,,,
,,2,,111170,W,,,,
1822604471.0,,2,,346350,,X,,,3C
52260894.0,,2,,419340,,X,97-000,97-098,1D
,,2,,213770,,,,,
1622603399.0,,2,,535010,,,20,34,4C
1622602179.0,,2,,529742,,,130,168,4C
1722613630.0,,2,,513098,,I,,,8D
1422604348.0,,2,,213620,,,0,1840,1A
1422601723.0,,2,,215920,,,1800,1818,4C
1422603255.0,,2,,272220,,,1000,1028,4E
1922614440.0,,2,,355430,,X,158,172,5A
,,2,,104081,S,,2,102,1B
1322604095.0,BRIDGE,2,,298280,,X,,,1A
102262207.0,,2,,407240,,,87-000,87-098,1D
82264078.0,,2,,450290,,,171-000,171-098,4C
1722602725.0,,2,,515120,,,208,228,7C
,,2,,213770,,,,,
1622602510.0,,2,,540158,,X,,,
,,2,,197920,,,,,
1622608305.0,,2,,522605,,X,247,271,3C
212260125.0,,2,,323340,,,,,1D
2022609625.0,,2,,350830,,,138,156,2B
1622608583.0,,2,,552310,,,2,40,3D
1922610280.0,,2,,384830,,,214,238,1D
1622609198.0,,2,,531785,,,471,549,3C
,,2,,213770,,,,,
72268153.0,,2,,420520,,,227-000,227-098,4D
1622606054.0,,2,,500173,,H,,,1D
2022610454.0,,2,,338205,,,1100,1198,1C
1422600612.0,,2,,225800,,X,,,1A
1722609883.0,,2,,520590,,,74,86,1D
1922609083.0,,2,,305280,,,552,570,5C
102264567.0,,2,,497340,,,,,6C
1422607045.0,,2,,207735,,,0,0,1B
,,2,,415795,,,,,
,,2,,405055,,,56-000,57-098,3B
72262313.0,,2,,448900,,,221-000,221-098,5C
1322605995.0,,2,,132790,,,101,119,2A
42260327.0,,2,,457550,,X,0,0,3C
1422602745.0,,2,,277270,,X,0,0,1B
1422603694.0,,2,,222240,,,,,
112260704.0,,2,,423740,,,42-064,42-098,4E
2022606710.0,,2,,312130,,,52,84,3A
,,2,,213770,,,,,
102266587.0,,2,,412190,,X,,,3C
22261686.0,,2,,315575,,,0,0,4D
22261673.0,,2,,340020,,,72,80,4D
1322605269.0,,2,,197580,,,,,
102264539.0,,2,,408640,,,,,2E
1722613179.0,,2,,516905,,H,0,0,5C
22262420.0,,2,,314330,,,5800,5898,4E
1422603728.0,,2,,269020,,,1018,1090,1A
2022611378.0,,2,,373380,,X,674,696,4D
1422603476.0,,2,,226400,,,444,478,1B
62260820.0,,2,,453490,,X,107-000,108-098,2D
,,2,,213770,,,,,
72268057.0,,2,,426340,,,113-000,113-098,4C
1822604816.0,,2,,335880,,,2300,2398,3E
112263429.0,,2,,454800,,X,51-000,51-024,4E
52263580.0,,2,,418890,,,133-000,133-098,1E
92263201.0,,2,,440090,,,88-000,88-098,2E
,,2,,201348,,,,,
2022612732.0,,2,,337680,,,580,612,2D
2022607757.0,,2,,334030,,,710,768,3C
92267365.0,,2,,413740,,,62-000,63-098,1D
1222606129.0,,2,,134970,,,1,99,1A
