rad_transferred_date,avg_monthly_gross_rent,population_public_housing,hud_amp_
,$660,989,NY005011700
,$606,"3,673",NY005001130
,,,NY005003100
,$383,218,NY005010600
2020-02-12T00:00:00.000,$426,,NY005021400
,$605,967,NY005010930
,$666,"2,408",NY005010180
2020-11-30T00:00:00.000,$532,176,NY005013090
2019-07-18T00:00:00.000,$473,,NY005012470
,$676,907,NY005012610
2020-11-30T00:00:00.000,$823,3,NY005013170
,$374,156,NY005010910
,$614,503,NY005011530
2023-01-10T00:00:00.000,$338,250,NY005010030
,$701,971,NY005012430
2018-11-30T00:00:00.000,$386,,NY005015310
,$586,"4,343",***
2024-09-26T00:00:00.000,$621,"1,182",NY005011380
2024-09-26T00:00:00.000,$419,255,NY005010390
,$792,449,NY005012570
,$730,785,NY005012800
2023-09-28T00:00:00.000,$590,430,NY005013420
,,,NY005025001
2023-11-28T00:00:00.000,$641,320,NY005011670
2020-11-30T00:00:00.000,$318,275,NY005013090
,$630,"4,176",NY005010740
,$613,"1,333",NY005000770
2020-11-30T00:00:00.000,$555,252,NY005021850
,$631,"1,920",NY005000370
,$631,"1,561",NY005021140
,$664,132,NY005015300
,$346,145,NY005010450
,$654,228,NY005012920
,$642,"1,645",NY005010310
,$387,248,NY005010630
,$601,"2,614",NY005010060
,$776,63,NY005011270
2021-12-28T00:00:00.000,$618,184,NY005010460
,$549,120,NY005010670
2024-06-26T00:00:00.000,$607,"1,222",NY005010130
,$631,"3,527",NY005000230
,$457,174,NY005010910
2018-11-16T00:00:00.000,$486,,NY005012110
2020-02-12T00:00:00.000,$413,,NY005013590
,$584,"1,601",NY005010470
,$540,229,NY005011000
,$604,"2,698",NY005000790
,$675,330,NY005010820
2023-09-28T00:00:00.000,$585,247,NY005013420
,$726,61,NY005013590
,$559,"2,642",NY005000710
,$455,321,NY005011940
2020-11-30T00:00:00.000,$466,405,NY005013090
,$666,"2,252",NY005000440
,$615,"1,478",NY005020930
,$553,"2,531",NY005010840
,$653,"2,055",NY005010220
,$621,"2,797",NY005005050
,$620,427,NY005015300
,$642,"3,122",NY005010620
,$343,95,NY005011860
,$653,"2,083",NY005010360
2022-02-17T00:00:00.000,$624,285,NY005010030
2020-02-12T00:00:00.000,$462,,NY005013590
