fb_age_over_60,fb_country_bk_haiti,fb_country_trin_tobago,fb_lang_mandarin,diff_fb_avg_visits,fb_country_jamaica,diff_fb__police_call,foreign_born,diff_fb__shelter_hom,diff_fb__group_counseling,fb_relationship_ex_spouse,fb_other_family,diff_fb__less_hs,fb_country_bangladesh,visit_year,diff_us__employed,fjc_fb_visit_bronx,fb_services_civil_legal_asst,us_born,diff_fb__open_crim_ct,fb_relationship_living,fb_age_25_39,fb_country_bk_jamaica,diff_us__disability,fb_lang_english,fb_acquaintance_stranger,fb_services_perm_housing
,,,,,,,6783,,,,,,,2015,,,,4336,,,,,,,,
,,,,,,,4749,,,,,,,2013,,,,2982,,,,,,,,
